rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,005930,삼성전자,286500.0,94.1,83.0,100.0,47.8,58.3,98.6,62.4,9.6,1.1,watch,261997.84,231370.13
2,005935,삼성전자우,222000.0,92.8,100.0,100.0,64.0,82.5,85.9,65.5,12.8,2.8,watch,202051.93,177116.85
3,000150,두산,1515000.0,88.8,69.0,100.0,100.0,47.6,81.3,66.7,28.4,0.1,watch,1333731.47,1107145.8
4,353200,대덕전자,119200.0,88.6,72.6,87.6,57.0,86.9,99.1,61.8,11.4,-1.2,watch,102121.11,80772.5
5,402340,SK스퀘어,1181000.0,85.7,94.2,85.0,58.1,65.1,89.4,59.4,11.6,-1.5,watch,1033534.72,849203.12
6,103590,일진전기,81800.0,83.6,13.5,100.0,91.0,100.0,80.7,66.8,18.2,3.3,watch,73058.3,62131.18
7,003490,대한항공,31500.0,83.2,73.5,95.3,59.5,71.3,74.5,68.4,11.9,-0.5,watch,29249.46,26436.28
8,009150,삼성전기,1501000.0,78.0,100.0,69.6,64.3,41.2,87.1,58.8,12.9,-3.0,watch,1321810.73,1097824.15
9,034730,SK,607000.0,74.0,93.9,66.6,47.8,50.0,83.1,57.8,9.6,-3.3,watch,543483.6,464088.11
10,000990,DB하이텍,131700.0,73.7,39.5,79.2,100.0,31.3,76.2,68.0,43.9,-2.1,watch,115915.49,96184.85
11,000660,SK하이닉스,1863000.0,70.7,88.1,62.8,51.8,43.8,80.6,57.2,10.4,-3.7,watch,1659987.0,1406220.74
12,443060,HD현대마린솔루션,240000.0,63.6,61.6,44.9,44.2,21.7,94.4,60.6,8.8,-5.5,watch,215624.76,185155.71
13,062040,산일전기,205000.0,61.8,42.4,53.5,79.4,19.8,79.0,56.8,15.9,-4.7,watch,181303.69,151683.31
14,316140,우리금융지주,35500.0,60.2,33.8,58.2,37.9,21.6,76.7,56.2,7.6,-4.2,watch,33074.35,30042.29
15,033780,KT&G,174500.0,58.6,15.8,74.9,0.0,60.1,58.0,51.5,-0.1,-2.5,watch,165689.92,154677.31
16,066570,LG전자,210500.0,55.8,99.4,33.5,24.9,38.9,77.7,56.4,5.0,-6.7,watch,190219.27,164868.35
17,007340,DN오토모티브,47700.0,53.2,92.0,42.7,3.2,56.7,62.3,52.6,0.6,-5.7,watch,42223.82,35378.59
18,105560,KB금융,174100.0,52.7,43.2,58.2,22.5,29.7,54.2,50.5,4.5,-4.2,watch,162702.12,148454.77
19,010950,S-Oil,156500.0,50.7,100.0,16.3,55.0,42.1,81.3,57.3,11.0,-8.4,watch,138095.26,115089.33
20,096770,SK이노베이션,148700.0,49.4,75.7,2.9,100.0,42.6,96.3,61.1,33.7,-9.7,watch,130833.21,108499.72
21,055550,신한지주,110100.0,46.0,52.3,45.1,12.6,40.4,50.3,49.6,2.5,-5.5,watch,102485.9,92968.28
22,180640,한진칼,140500.0,43.8,53.9,11.2,45.4,42.1,83.5,57.9,9.1,-8.9,watch,126643.03,109321.82
23,008930,한미사이언스,52500.0,42.6,76.1,0.0,91.2,19.4,83.7,57.9,18.2,-13.9,watch,45636.41,37056.93
24,090430,아모레퍼시픽,142200.0,42.3,29.5,32.5,0.0,32.0,65.6,53.4,-0.9,-6.8,watch,130847.96,116657.91
25,086790,하나금융지주,133700.0,42.1,48.8,41.5,1.9,42.1,46.2,48.6,0.4,-5.8,watch,124222.1,112374.73
26,161890,한국콜마,146700.0,41.1,100.0,0.0,0.0,43.9,83.1,57.8,-1.4,-11.6,watch,130590.25,110453.06
27,000500,가온전선,318000.0,40.9,100.0,9.9,100.0,20.6,57.4,72.6,87.9,-9.0,watch,269596.56,209092.25
28,010120,LS ELECTRIC,207000.0,40.1,54.6,24.1,13.6,36.3,60.8,52.2,2.7,-7.6,watch,185871.8,159461.54
29,003690,코리안리,14630.0,38.8,47.9,34.2,4.1,39.9,46.8,48.7,0.8,-6.6,watch,13769.1,12692.97
30,012750,에스원,82400.0,38.6,10.7,25.8,15.6,24.2,67.9,54.0,3.1,-7.4,watch,76186.25,68419.06
