rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,006360,GS건설,38500.0,88.6,100.0,87.2,39.2,78.9,94.7,63.3,7.8,-1.3,watch,33389.41,27001.18
2,000150,두산,1356000.0,87.4,40.4,100.0,37.2,72.1,92.9,60.2,7.4,1.6,watch,1168448.99,934010.24
3,028050,삼성E&A,51000.0,84.1,85.5,88.4,20.4,57.6,88.9,59.2,4.1,-1.2,watch,45619.0,38892.76
4,443060,HD현대마린솔루션,247000.0,82.9,62.3,100.0,100.0,100.0,63.0,71.3,23.2,2.9,watch,221047.28,188606.37
5,375500,DL이앤씨,85800.0,82.0,100.0,100.0,83.7,86.3,52.6,73.9,16.7,2.1,watch,77350.3,66788.18
6,316140,우리금융지주,35100.0,80.0,34.9,86.0,27.0,48.4,95.2,60.8,5.4,-1.4,watch,32541.13,29342.53
7,105560,KB금융,177900.0,78.2,54.6,84.5,29.1,42.5,86.3,58.6,5.8,-1.5,watch,165686.35,150419.29
8,000810,삼성화재,686000.0,75.6,84.0,73.0,61.4,58.9,79.7,56.9,12.3,-2.7,watch,618305.94,533688.36
9,055550,신한지주,112900.0,71.7,65.4,69.1,29.5,43.8,84.7,58.2,5.9,-3.1,watch,104837.62,94759.64
10,086790,하나금융지주,137800.0,70.3,65.6,70.4,26.0,45.8,79.6,56.9,5.2,-3.0,watch,127555.58,114750.05
11,175330,JB금융지주,31750.0,67.7,50.5,62.1,40.9,61.8,84.3,65.9,8.2,-3.8,watch,28842.89,25209.0
12,000660,SK하이닉스,1812000.0,67.0,89.0,58.7,68.7,35.2,73.3,55.3,13.7,-4.1,watch,1572979.65,1274204.22
13,000720,현대건설,134900.0,65.8,22.1,50.0,93.2,42.2,97.4,62.6,18.6,-5.0,watch,117665.9,96123.27
14,001450,현대해상,51300.0,65.1,100.0,37.8,97.2,33.8,88.3,59.1,19.4,-6.2,watch,46314.95,40083.63
15,003690,코리안리,14900.0,58.7,58.7,51.5,7.8,56.0,75.4,55.8,1.6,-4.9,watch,13860.43,12560.97
16,088350,한화생명,5990.0,56.9,100.0,14.5,95.4,40.2,95.7,60.9,19.1,-8.5,watch,5330.94,4507.11
17,000500,가온전선,254000.0,56.5,100.0,23.6,100.0,39.7,81.9,66.5,52.1,-7.6,watch,211516.26,158411.59
18,267270,HD건설기계,142500.0,55.2,16.8,51.9,10.8,36.5,78.5,56.6,2.2,-4.8,watch,125859.85,105059.67
19,003490,대한항공,28950.0,54.4,48.8,36.9,54.6,35.7,80.5,57.1,10.9,-6.3,watch,26879.93,24292.35
20,139130,iM금융지주,18450.0,54.4,30.4,46.2,43.6,35.3,75.2,55.8,8.7,-5.4,watch,17045.07,15288.91
21,005830,DB손해보험,191700.0,54.1,78.8,21.6,75.3,44.8,87.1,58.8,15.1,-7.8,watch,172926.08,149458.68
22,096770,SK이노베이션,144800.0,48.0,73.2,0.0,94.9,43.7,97.5,61.4,19.0,-12.1,watch,125783.06,102011.88
23,034730,SK,585000.0,47.6,90.5,31.5,28.9,35.7,59.5,51.9,5.8,-6.8,watch,508272.15,412362.34
24,028670,팬오션,6030.0,47.5,66.1,23.4,35.5,33.7,76.3,56.1,7.1,-7.7,watch,5345.65,4490.21
25,138040,메리츠금융지주,128400.0,45.7,42.6,23.1,41.3,36.8,77.5,56.4,8.3,-7.7,watch,117198.69,103197.05
26,047040,대우건설,19890.0,45.2,64.0,6.2,40.5,45.1,91.7,59.9,8.1,-9.4,watch,16714.48,12745.08
27,192820,코스맥스,270500.0,44.2,100.0,0.0,43.2,39.2,86.3,58.6,8.6,-11.7,watch,238696.52,198942.16
28,032830,삼성생명,307500.0,43.9,61.8,34.7,27.4,24.5,54.5,50.6,5.5,-6.5,watch,269184.56,221290.27
29,062040,산일전기,198600.0,43.4,34.2,23.7,28.2,40.2,74.2,55.5,5.6,-7.6,watch,171976.9,138698.03
30,180640,한진칼,139500.0,42.6,47.5,4.7,86.1,36.4,85.3,58.3,17.2,-9.5,watch,122337.74,100884.9
