rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,001450,현대해상,45350.0,88.2,81.6,100.0,92.0,93.8,79.4,67.1,18.4,0.1,buy,40374.36,34154.82
2,003690,코리안리,15290.0,79.0,68.0,92.9,59.7,78.1,74.0,68.5,11.9,-0.7,watch,14182.82,12798.85
3,007340,DN오토모티브,58900.0,71.8,100.0,100.0,100.0,100.0,35.8,78.0,44.4,8.7,buy,51226.27,41634.1
4,017670,SK텔레콤,100500.0,69.9,92.4,0.0,60.2,80.8,99.7,61.9,12.0,-28.0,watch,86666.47,69374.55
5,085620,미래에셋생명,20850.0,68.8,100.0,0.0,100.0,86.7,91.8,64.1,24.4,-44.1,watch,17811.09,14012.45
6,307950,현대오토에버,489500.0,67.7,25.6,0.0,100.0,100.0,93.2,60.3,24.6,-54.1,watch,407673.04,305389.33
7,078930,GS,117000.0,66.7,100.0,100.0,100.0,67.0,42.3,76.4,41.3,3.5,buy,101259.03,81582.82
8,066570,LG전자,215000.0,65.7,100.0,0.0,100.0,60.8,98.7,62.3,20.1,-50.9,watch,184450.77,146264.24
9,064400,LG씨엔에스,79900.0,64.8,31.4,0.0,100.0,74.2,99.6,61.9,22.9,-47.9,watch,69642.83,56821.38
10,021240,코웨이,98200.0,64.6,46.2,65.6,7.8,22.7,91.0,59.7,1.6,-3.4,watch,88461.96,76289.42
11,005850,에스엘,61600.0,64.1,28.8,0.0,66.2,73.2,99.9,62.0,13.2,-22.5,watch,54894.67,46513.0
12,006400,삼성SDI,516000.0,61.7,61.6,0.0,93.8,53.4,99.6,61.9,18.8,-28.6,watch,447842.45,362645.52
13,012330,현대모비스,547000.0,60.3,62.1,0.0,67.4,54.9,96.2,61.1,13.5,-33.5,watch,478409.93,392672.33
14,051900,LG생활건강,307500.0,59.1,56.9,16.5,100.0,31.5,96.9,62.8,24.7,-8.3,watch,275543.11,235596.99
15,086790,하나금융지주,133000.0,57.9,67.7,33.3,0.0,40.1,81.2,57.3,-2.8,-6.7,watch,121210.26,106473.08
16,005830,DB손해보험,176800.0,57.8,54.4,0.0,42.3,64.3,87.4,65.2,8.5,-17.4,watch,158134.43,134802.48
17,006360,GS건설,35350.0,57.8,92.0,0.0,100.0,28.8,99.3,61.8,29.5,-21.2,watch,29269.91,21669.81
18,010950,S-Oil,147600.0,57.7,100.0,0.0,9.3,39.9,94.3,63.4,1.9,-16.7,watch,129263.89,106343.74
19,375500,DL이앤씨,73800.0,57.6,71.2,0.0,100.0,33.6,99.3,61.8,22.6,-30.8,watch,64947.3,53881.42
20,018260,삼성에스디에스,243500.0,57.4,75.4,0.0,100.0,42.5,93.5,63.6,22.2,-37.3,watch,213856.43,176801.97
21,009150,삼성전기,1558000.0,56.8,100.0,0.0,100.0,53.6,82.4,57.6,22.0,-35.5,watch,1239665.59,841747.58
22,055550,신한지주,107400.0,56.8,61.1,47.9,0.0,30.7,76.8,56.2,-0.5,-5.2,watch,97846.43,85904.47
23,003550,LG,120000.0,56.6,73.0,0.0,100.0,84.4,69.3,69.7,21.5,-35.4,watch,108403.95,93908.89
24,088350,한화생명,5630.0,55.5,84.2,0.0,100.0,100.0,56.7,72.8,24.0,-25.5,watch,5006.94,4228.11
25,096770,SK이노베이션,128700.0,55.4,37.0,0.0,30.1,39.1,98.5,61.6,6.0,-17.2,watch,112812.54,92953.21
26,010060,OCI홀딩스,279000.0,55.1,100.0,0.0,100.0,24.3,94.4,60.6,43.6,-32.6,watch,219456.92,145028.06
27,161890,한국콜마,136700.0,54.5,100.0,49.3,100.0,70.0,40.9,76.8,27.0,-5.1,watch,118713.09,96229.46
28,028050,삼성E&A,49800.0,52.9,96.5,0.0,100.0,34.9,84.2,58.1,21.9,-26.0,watch,43530.95,35694.65
29,009420,한올바이오파마,59700.0,52.3,44.0,0.0,65.3,31.9,93.1,60.3,13.1,-18.2,watch,50541.99,39094.47
30,005935,삼성전자우,195600.0,52.1,100.0,0.0,68.6,48.8,75.2,55.8,13.7,-19.7,watch,167354.39,132047.38
