rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,028670,팬오션,5470.0,67.4,46.6,0.0,50.3,100.0,90.8,59.7,10.1,-17.1,watch,4828.67,4027.0
2,078930,GS,89000.0,67.0,92.8,0.0,78.7,83.4,91.0,59.7,15.7,-10.8,watch,74682.6,56785.84
3,138040,메리츠금융지주,124000.0,60.2,31.1,0.0,78.9,55.5,99.9,62.0,15.8,-17.2,watch,112375.17,97844.13
4,316140,우리금융지주,33600.0,58.0,29.0,0.0,56.3,57.7,94.7,63.3,11.3,-19.0,watch,30374.3,26342.17
5,383220,F&F,80500.0,56.3,38.3,4.5,3.8,75.0,79.0,56.7,0.8,-9.6,watch,71321.42,59848.2
6,005935,삼성전자우,191000.0,56.0,100.0,0.0,6.1,94.3,61.0,52.3,1.2,-21.6,watch,152805.7,105062.84
7,033780,KT&G,179100.0,54.9,43.4,30.9,17.6,86.6,53.8,50.5,3.5,-6.9,watch,164614.46,146507.55
8,007340,DN오토모티브,40350.0,49.6,75.5,0.0,33.0,59.9,68.2,54.0,6.6,-25.6,watch,33789.3,25588.43
9,011200,HMM,20950.0,49.1,7.8,0.0,48.4,49.9,82.1,57.5,9.7,-16.0,watch,19040.08,16652.69
10,003690,코리안리,13770.0,48.8,40.4,0.0,32.5,64.7,69.0,54.2,6.5,-10.6,watch,12465.34,10834.51
11,005930,삼성전자,262500.0,48.3,93.2,0.0,0.0,90.2,47.1,48.8,-8.2,-29.9,watch,207451.78,138641.5
12,001450,현대해상,38450.0,47.3,72.2,0.0,34.0,56.5,65.3,53.3,6.8,-13.1,watch,33531.69,27383.81
13,003550,LG,101100.0,46.3,29.0,0.0,10.6,81.7,56.3,51.1,2.1,-45.6,watch,87516.93,70538.1
14,018260,삼성에스디에스,206000.0,44.5,44.6,0.0,11.2,67.6,57.7,51.4,2.2,-47.0,watch,173548.51,132984.16
15,483650,달바글로벌,221000.0,43.8,97.4,0.0,0.0,74.6,44.6,48.2,-2.6,-19.8,watch,172503.24,111882.3
16,028260,삼성물산,351500.0,42.9,50.1,0.0,0.0,93.1,39.6,46.9,-13.5,-37.8,watch,272874.25,174592.06
17,005830,DB손해보험,157000.0,41.2,25.8,0.0,39.5,60.3,56.0,51.0,7.9,-26.6,watch,139142.47,116820.56
18,000810,삼성화재,632000.0,40.6,72.6,0.0,14.7,53.3,52.1,50.0,2.9,-16.5,watch,549243.89,445798.75
19,010120,LS ELECTRIC,184800.0,40.4,58.9,0.0,0.0,85.2,36.9,46.2,-21.9,-44.8,watch,138490.31,80603.21
20,021240,코웨이,91500.0,39.7,26.6,10.4,0.0,55.6,50.3,49.6,-4.8,-9.0,watch,81657.2,69353.69
21,034730,SK,557000.0,39.3,100.0,0.0,0.0,77.5,32.4,45.1,-18.4,-36.9,watch,425129.23,260290.76
22,000660,SK하이닉스,1718000.0,38.3,100.0,0.0,0.0,76.3,30.7,44.7,-21.4,-42.5,watch,1254537.6,675209.61
23,105560,KB금융,168500.0,38.0,62.4,0.0,10.6,48.0,50.8,49.7,2.1,-13.4,watch,149492.07,125732.16
24,081660,미스토홀딩스,45150.0,37.9,14.1,0.0,0.0,41.6,61.5,52.4,-2.7,-19.1,watch,40101.0,33789.74
25,010950,S-Oil,127300.0,37.8,87.2,0.0,82.9,44.9,46.3,48.6,16.6,-28.1,watch,108527.41,85061.66
26,271560,오리온,131800.0,37.3,31.7,0.0,0.0,55.7,49.8,49.5,-5.2,-12.2,watch,118938.41,102861.41
27,086790,하나금융지주,125400.0,36.9,57.7,0.0,19.0,50.7,47.3,48.8,3.8,-12.0,watch,110995.43,92989.72
28,028050,삼성E&A,43800.0,34.7,71.1,0.0,0.0,39.0,47.2,48.8,-10.6,-34.9,watch,35913.18,26054.65
29,032830,삼성생명,311500.0,34.4,90.0,0.0,0.0,58.2,33.1,45.3,-15.9,-39.7,watch,250059.49,173258.84
30,055550,신한지주,100700.0,34.2,50.2,0.0,0.0,59.8,37.8,46.4,-1.5,-11.1,watch,89383.57,75238.04
