rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,001450,현대해상,44050.0,85.4,78.9,95.5,71.3,100.0,73.3,68.7,14.3,-0.5,watch,39199.32,33135.97
2,078930,GS,97500.0,74.0,100.0,56.8,100.0,42.6,95.8,63.0,22.6,-4.3,watch,83501.54,66003.46
3,021240,코웨이,97600.0,71.5,44.6,71.1,32.2,45.5,91.0,59.7,6.4,-2.9,watch,87662.28,75240.13
4,003690,코리안리,14710.0,68.6,57.0,55.2,28.0,51.8,88.0,65.0,5.6,-4.5,watch,13571.53,12148.44
5,036570,NC,255500.0,65.4,28.7,0.0,31.2,100.0,89.4,59.3,6.2,-25.6,watch,228730.29,195268.14
6,282330,BGF리테일,150500.0,64.8,65.9,64.7,88.8,55.3,69.1,69.7,17.8,-3.5,watch,134716.24,114986.55
7,018260,삼성에스디에스,237000.0,63.8,72.0,0.0,100.0,62.1,97.9,61.5,24.6,-39.0,watch,205656.37,166476.84
8,006360,GS건설,34750.0,63.3,87.6,0.0,90.0,57.5,97.3,61.3,18.0,-22.5,watch,28319.71,20281.84
9,375500,DL이앤씨,73000.0,59.6,68.0,0.0,100.0,49.1,96.1,61.0,21.1,-31.5,watch,63570.13,51782.8
10,010060,OCI홀딩스,273500.0,58.3,100.0,0.0,100.0,34.8,96.0,61.0,33.7,-33.9,watch,209973.73,130565.89
11,010950,S-Oil,141600.0,57.2,100.0,0.0,7.5,45.8,90.1,59.5,1.5,-20.0,watch,123158.63,100106.91
12,007340,DN오토모티브,47900.0,55.9,97.9,0.0,100.0,47.5,83.9,66.0,26.4,-11.6,watch,41506.64,33514.93
13,051900,LG생활건강,318500.0,55.2,53.1,49.3,100.0,42.7,64.4,70.9,28.2,-5.1,watch,284164.22,241244.49
14,090430,아모레퍼시픽,137300.0,54.6,22.0,0.0,64.6,38.4,98.2,61.6,12.9,-16.8,watch,122942.35,104995.29
15,028670,팬오션,5780.0,54.5,60.4,0.0,51.5,49.8,86.5,58.6,10.3,-12.4,watch,5089.63,4226.67
16,316140,우리금융지주,33800.0,52.2,29.0,0.0,41.7,44.4,89.2,59.3,8.3,-18.6,watch,30812.11,27077.25
17,003550,LG,108300.0,50.7,44.6,0.0,45.3,40.4,85.5,58.4,9.1,-41.7,watch,96666.25,82124.06
18,096770,SK이노베이션,124100.0,50.3,24.7,0.0,63.1,39.4,87.6,58.9,12.6,-20.1,watch,107293.9,86286.28
19,011200,HMM,21650.0,49.9,16.4,0.0,53.7,27.3,94.8,60.7,10.7,-13.2,watch,19942.1,17807.22
20,278470,에이피알,385500.0,49.9,65.8,0.0,7.2,47.2,77.9,56.5,1.4,-18.5,watch,332633.53,266550.45
21,009420,한올바이오파마,56900.0,49.8,27.3,0.0,15.4,46.7,83.4,57.8,3.1,-22.1,watch,47720.13,36245.28
22,088350,한화생명,4725.0,49.3,42.7,0.0,42.5,47.0,79.0,56.7,8.5,-37.5,watch,4227.61,3605.88
23,138040,메리츠금융지주,123800.0,49.1,32.0,0.0,29.1,38.6,85.1,58.3,5.8,-17.4,watch,113177.57,99899.52
24,028050,삼성E&A,48950.0,48.9,95.0,0.0,95.5,30.1,78.1,56.5,19.1,-27.3,watch,42083.2,33499.7
25,064400,LG씨엔에스,75600.0,48.7,16.0,0.0,54.3,49.3,80.1,57.0,10.9,-50.7,watch,65049.95,51862.38
26,483650,달바글로벌,246000.0,48.3,100.0,0.0,100.0,30.9,75.3,55.8,23.3,-10.7,watch,203620.11,150645.25
27,267270,HD건설기계,142000.0,48.0,31.2,0.0,59.1,39.0,81.6,57.4,11.8,-34.7,watch,121334.62,95502.89
28,005830,DB손해보험,164500.0,46.5,36.1,0.0,17.0,32.8,82.1,57.5,3.4,-23.1,watch,147602.63,126480.93
29,047040,대우건설,17320.0,46.4,57.2,0.0,40.9,48.0,69.8,54.4,8.2,-57.1,watch,13954.1,9746.72
30,175330,JB금융지주,28750.0,46.3,19.8,0.0,13.4,29.2,86.2,58.5,2.7,-25.3,watch,25567.42,21589.19
