rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,000150,두산,1413000.0,93.5,48.7,100.0,99.7,100.0,97.0,61.2,19.9,1.1,watch,1217700.12,973575.26
2,028050,삼성E&A,51400.0,85.7,84.5,92.3,34.9,44.4,87.4,58.8,7.0,-0.8,watch,46421.31,40197.94
3,021240,코웨이,108400.0,85.0,75.7,99.1,80.3,24.8,74.2,68.4,16.1,-0.1,watch,99484.86,88340.93
4,105560,KB금융,179700.0,81.9,55.3,89.0,61.6,39.7,86.5,58.6,12.3,-1.1,watch,167624.67,152530.5
5,316140,우리금융지주,36400.0,80.5,43.5,85.1,76.9,32.2,89.3,64.7,15.4,-1.5,watch,33827.71,30612.35
6,055550,신한지주,114100.0,78.3,66.2,79.4,64.3,38.6,85.4,58.3,12.9,-2.1,watch,106364.64,96695.43
7,175330,JB금융지주,32000.0,76.4,53.7,66.8,100.0,43.4,94.9,60.7,21.2,-3.3,watch,29128.37,25538.84
8,000990,DB하이텍,125000.0,76.2,24.0,80.4,100.0,58.4,84.1,66.0,29.0,-2.0,watch,108364.04,87569.08
9,000500,가온전선,264000.0,74.4,100.0,60.0,100.0,56.1,83.6,66.1,60.1,-4.0,watch,223741.93,173419.34
10,086790,하나금융지주,138500.0,73.7,63.7,75.4,61.2,47.4,78.1,56.5,12.2,-2.5,watch,128700.45,116451.02
11,003690,코리안리,15140.0,70.8,61.1,66.8,17.8,54.6,87.5,58.9,3.6,-3.3,watch,14198.48,13021.58
12,003490,대한항공,29550.0,69.6,55.2,56.3,89.8,27.6,91.6,59.9,18.0,-4.4,watch,27462.99,24854.22
13,443060,HD현대마린솔루션,241500.0,66.9,59.8,50.8,94.8,33.6,88.6,64.8,19.0,-4.9,watch,216216.84,184612.9
14,012750,에스원,84800.0,64.7,20.2,52.8,64.6,28.5,96.1,63.0,12.9,-4.7,watch,78070.18,69657.91
15,375500,DL이앤씨,84600.0,64.2,98.0,33.8,94.1,35.6,92.0,64.0,18.8,-6.6,watch,75651.94,64466.86
16,088350,한화생명,6080.0,61.5,100.0,28.2,51.7,53.5,95.8,60.9,10.3,-7.2,watch,5438.44,4636.49
17,090430,아모레퍼시픽,144300.0,58.7,39.1,46.2,28.2,31.2,87.2,58.8,5.6,-5.4,watch,132455.41,117649.67
18,005830,DB손해보험,193800.0,58.1,77.8,31.7,46.2,39.7,89.9,59.5,9.2,-6.8,watch,175485.71,152592.84
19,062040,산일전기,203000.0,57.4,39.0,44.2,66.4,34.6,80.7,57.2,13.3,-5.6,watch,178219.31,147243.44
20,033780,KT&G,173700.0,54.8,18.3,70.4,5.2,49.0,52.4,50.1,1.0,-3.0,watch,165162.53,154490.68
21,004020,현대제철,34400.0,52.9,2.1,24.7,100.0,56.1,98.1,62.5,22.6,-7.5,watch,30843.48,26397.84
22,139130,iM금융지주,18460.0,52.8,29.8,46.7,42.9,34.7,70.3,54.6,8.6,-5.3,watch,17147.46,15506.78
23,000810,삼성화재,666000.0,52.7,74.3,44.7,35.4,22.8,61.6,52.4,7.1,-5.5,watch,603622.86,525651.44
24,006360,GS건설,36650.0,52.1,100.0,31.4,14.7,18.4,72.9,55.2,2.9,-6.9,watch,31729.24,25578.29
25,128940,한미약품,515000.0,50.3,29.4,13.1,100.0,42.0,99.1,62.2,29.1,-8.7,watch,453752.87,377193.95
26,005935,삼성전자우,196100.0,49.3,85.6,33.8,12.8,35.6,64.8,53.2,2.6,-6.6,watch,175556.43,149876.97
27,000660,SK하이닉스,1766000.0,48.4,77.6,34.4,22.2,39.7,62.3,52.6,4.4,-6.6,watch,1548866.09,1277448.71
28,180640,한진칼,140200.0,45.5,51.6,9.2,100.0,30.6,85.0,58.2,22.4,-9.1,watch,124474.2,104816.94
29,161890,한국콜마,148000.0,45.2,100.0,0.0,37.0,33.0,90.4,59.6,7.4,-10.8,watch,131065.49,109897.34
30,192820,코스맥스,275000.0,43.5,100.0,0.0,27.8,33.1,86.8,58.7,5.6,-10.3,watch,243129.55,203291.48
