rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,000990,DB하이텍,119800.0,87.0,13.9,98.3,100.0,82.5,92.2,63.9,22.7,-0.2,watch,103826.93,83860.59
2,375500,DL이앤씨,88500.0,84.1,100.0,100.0,100.0,100.0,55.0,73.2,25.4,2.4,watch,79678.58,68651.8
3,028050,삼성E&A,51100.0,82.9,84.4,86.5,33.4,44.2,87.3,58.8,6.7,-1.4,watch,45808.73,39194.65
4,006360,GS건설,38150.0,79.4,100.0,69.5,58.6,43.6,91.9,60.0,11.7,-3.0,watch,32886.28,26306.63
5,316140,우리금융지주,36300.0,78.2,43.4,82.4,37.8,42.2,91.1,64.2,7.6,-1.8,watch,33645.15,30326.6
6,021240,코웨이,100900.0,78.1,61.7,83.4,22.8,69.1,84.3,58.1,4.6,-1.7,watch,92309.66,81571.73
7,175330,JB금융지주,32000.0,74.2,53.3,66.8,73.5,35.2,93.0,63.7,14.7,-3.3,watch,29105.09,25486.46
8,003690,코리안리,15110.0,68.0,61.7,64.9,0.0,35.9,85.8,58.5,-0.8,-3.5,watch,14121.49,12885.86
9,105560,KB금융,176400.0,66.6,51.3,70.8,23.4,50.0,72.7,55.2,4.7,-2.9,watch,164068.84,148654.9
10,086790,하나금융지주,137500.0,66.5,63.3,68.3,26.0,34.8,72.9,55.2,5.2,-3.2,watch,127166.8,114250.3
11,003490,대한항공,29350.0,64.0,53.1,49.8,81.2,16.5,87.0,58.8,16.2,-5.0,watch,27202.34,24517.76
12,055550,신한지주,111900.0,62.2,61.9,60.5,25.4,39.2,71.3,54.8,5.1,-3.9,watch,103862.54,93815.71
13,090430,아모레퍼시픽,144100.0,59.4,39.7,44.9,45.0,38.2,87.9,59.0,9.0,-5.5,watch,131998.58,116871.8
14,012750,에스원,83200.0,52.6,15.9,34.8,36.8,30.7,90.5,59.6,7.4,-6.5,watch,76402.11,67904.74
15,443060,HD현대마린솔루션,233000.0,51.8,48.1,17.3,71.1,37.4,96.5,61.1,14.2,-8.3,watch,206795.87,174040.7
16,000500,가온전선,246000.0,51.3,100.0,0.0,100.0,22.8,99.6,61.9,51.4,-10.5,watch,204919.63,153569.18
17,088350,한화생명,5960.0,49.6,100.0,9.9,39.9,29.7,89.5,59.4,8.0,-9.0,watch,5320.91,4522.05
18,006400,삼성SDI,551000.0,48.2,77.2,18.3,64.5,44.2,76.8,56.2,12.9,-8.2,watch,491410.37,416923.33
19,000810,삼성화재,661000.0,48.0,72.9,37.6,28.0,45.0,57.2,51.3,5.6,-6.2,watch,594763.79,511968.53
20,192820,코스맥스,274000.0,46.9,100.0,0.0,73.2,19.4,91.0,59.8,14.6,-10.6,watch,243067.4,204401.66
21,139130,iM금융지주,18310.0,45.5,28.4,39.0,26.8,17.4,63.7,52.9,5.4,-6.1,watch,16917.59,15177.07
22,051900,LG생활건강,302500.0,44.1,53.7,25.1,4.2,70.6,69.8,54.4,0.8,-7.5,watch,275921.15,242697.59
23,161890,한국콜마,144700.0,43.6,100.0,0.0,57.8,27.0,83.4,57.8,11.6,-12.8,watch,128293.11,107784.49
24,336260,두산퓨얼셀,51900.0,42.6,30.0,0.0,100.0,72.5,92.1,60.0,43.4,-12.0,watch,41431.02,28344.79
25,096770,SK이노베이션,142000.0,39.4,71.6,0.0,39.9,36.7,81.7,57.4,8.0,-13.8,watch,122659.88,98484.73
26,008930,한미사이언스,51100.0,39.3,80.2,0.0,72.9,17.7,75.8,56.0,14.6,-16.2,watch,43163.35,33242.54
27,128940,한미약품,495500.0,38.6,17.8,0.0,100.0,44.6,86.4,58.6,26.4,-12.1,watch,431864.27,352319.62
28,180640,한진칼,138200.0,37.5,46.2,0.0,81.2,26.1,78.9,56.7,16.2,-10.4,watch,121704.99,101086.22
29,047040,대우건설,19320.0,36.3,53.9,0.0,62.6,27.6,75.7,55.9,12.5,-12.0,watch,16188.86,12274.94
30,138040,메리츠금융지주,126900.0,35.2,39.2,12.3,41.4,35.4,63.1,52.8,8.3,-8.8,watch,115340.71,100891.59
