rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,078930,GS,95300.0,78.9,83.9,100.0,100.0,100.0,54.5,73.4,48.4,0.4,buy,83848.99,69535.22
2,475150,SK이터닉스,80900.0,75.8,100.0,100.0,100.0,100.0,44.9,75.8,64.9,0.4,buy,64274.83,43493.37
3,017670,SK텔레콤,100000.0,74.7,99.9,0.0,47.0,100.0,99.3,61.8,9.4,-28.3,watch,87343.55,71522.99
4,001450,현대해상,40350.0,69.5,77.2,11.9,61.2,72.8,98.7,62.3,12.2,-8.8,watch,35795.22,30101.74
5,010060,OCI홀딩스,250000.0,66.5,100.0,0.0,92.4,100.0,79.4,56.9,18.5,-39.6,watch,190913.81,117056.08
6,086790,하나금융지주,132400.0,66.0,73.2,29.1,80.7,63.3,86.4,58.6,16.1,-7.1,watch,119080.22,102430.5
7,011200,HMM,21650.0,61.0,15.8,0.0,80.1,100.0,79.9,67.0,16.0,-13.2,watch,19885.14,17679.06
8,033780,KT&G,182600.0,60.8,49.1,49.1,35.5,44.4,78.6,56.7,7.1,-5.1,watch,168411.31,150675.44
9,028050,삼성E&A,47600.0,60.7,99.1,0.0,50.9,95.3,70.2,54.6,10.2,-29.3,watch,39871.23,30210.26
10,138040,메리츠금융지주,123300.0,57.1,25.3,0.0,100.0,78.6,80.7,66.8,20.4,-17.7,watch,113128.67,100414.52
11,483650,달바글로벌,240500.0,55.9,100.0,0.0,18.3,36.6,91.7,59.9,3.7,-12.4,watch,199402.64,148030.94
12,009970,영원무역홀딩스,203500.0,54.2,5.8,0.0,98.5,43.7,95.9,63.0,19.7,-22.3,watch,182135.62,155430.15
13,010950,S-Oil,151200.0,50.4,98.7,0.0,100.0,56.2,66.6,70.4,54.0,-14.6,watch,133878.82,112227.35
14,003690,코리안리,13950.0,49.6,44.0,5.8,50.5,32.3,84.1,58.0,10.1,-9.4,watch,12728.93,11202.59
15,006360,GS건설,30250.0,49.4,76.0,0.0,100.0,65.7,62.6,52.6,24.5,-32.6,watch,24060.25,16323.05
16,005830,DB손해보험,167900.0,48.8,40.1,0.0,100.0,41.9,79.5,67.1,23.5,-21.5,watch,151526.04,131058.58
17,028670,팬오션,5280.0,46.6,39.1,0.0,61.1,45.6,73.8,55.4,12.2,-20.0,watch,4736.72,4057.62
18,079550,LIG디펜스앤에어로스페이스,762000.0,46.3,74.8,0.0,0.0,70.9,55.7,50.9,-1.7,-31.8,watch,619622.04,441649.59
19,055550,신한지주,104400.0,45.6,60.7,21.4,52.4,37.9,60.6,52.2,10.5,-7.9,watch,93315.82,79460.6
20,139130,iM금융지주,18250.0,42.8,38.1,0.0,73.9,32.5,72.0,55.0,14.8,-17.0,watch,16565.85,14460.66
21,161390,한국타이어앤테크놀로지,70500.0,40.4,44.6,0.0,88.5,44.5,58.6,51.7,17.7,-10.1,watch,60671.64,48386.2
22,018260,삼성에스디에스,209500.0,39.9,50.7,0.0,49.6,33.2,63.8,53.0,9.9,-46.1,watch,178242.85,139171.42
23,105560,KB금융,171500.0,39.5,67.9,0.0,64.5,35.1,58.8,51.7,12.9,-11.8,watch,152965.81,129798.07
24,138930,BNK금융지주,18040.0,38.7,22.1,0.0,53.4,35.5,64.0,53.0,10.7,-21.7,watch,16316.38,14161.84
25,021240,코웨이,91800.0,37.7,27.9,13.4,27.6,39.9,51.8,49.9,5.5,-8.7,watch,81804.27,69309.61
26,000810,삼성화재,644000.0,37.2,82.5,0.0,0.0,29.6,56.1,51.0,-1.1,-14.9,watch,559989.99,454977.47
27,034730,SK,630000.0,37.0,100.0,0.0,0.0,38.7,48.2,49.0,-26.6,-28.7,watch,510501.36,361128.06
28,010120,LS ELECTRIC,202000.0,36.9,87.0,0.0,0.0,53.7,41.8,47.4,-7.8,-39.7,watch,159110.9,105499.53
29,000500,가온전선,188900.0,35.7,100.0,0.0,69.4,56.8,33.6,45.4,13.9,-46.5,watch,121415.43,37059.72
30,088350,한화생명,4590.0,33.7,45.0,0.0,0.0,31.6,52.7,50.2,-2.1,-39.3,watch,4039.97,3352.44
