rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,078930,GS,101000.0,84.6,100.0,91.2,100.0,75.2,83.3,66.2,27.8,-0.9,watch,86730.0,68892.5
2,483650,달바글로벌,262000.0,81.9,100.0,51.0,100.0,81.9,95.9,61.0,32.4,-4.9,watch,217361.53,161563.45
3,161890,한국콜마,132500.0,77.1,100.0,100.0,100.0,100.0,47.9,75.0,24.6,6.3,watch,114721.1,92497.48
4,066570,LG전자,205000.0,70.0,100.0,0.0,52.9,100.0,88.5,59.1,10.6,-53.2,watch,174019.83,135294.62
5,085620,미래에셋생명,19050.0,68.2,100.0,0.0,90.5,100.0,83.5,57.9,18.1,-48.9,watch,16008.9,12207.52
6,001450,현대해상,41650.0,64.8,79.5,19.4,59.8,61.7,89.5,59.4,12.0,-8.1,watch,36731.51,30583.4
7,007340,DN오토모티브,47050.0,64.8,99.4,0.0,100.0,63.8,95.1,63.2,28.2,-13.2,watch,40663.3,32679.94
8,192820,코스맥스,249500.0,62.2,65.4,100.0,100.0,100.0,19.2,82.2,42.7,6.4,watch,220785.03,184891.31
9,278470,에이피알,397000.0,61.6,73.9,0.0,29.3,68.7,91.0,59.7,5.9,-16.1,watch,342052.57,273368.27
10,064400,LG씨엔에스,77300.0,60.9,22.0,0.0,85.6,83.2,87.8,59.0,17.1,-49.6,watch,66903.52,53907.93
11,021240,코웨이,95800.0,60.8,39.1,53.2,8.5,52.8,74.0,55.5,1.7,-4.7,watch,85629.26,72915.83
12,006360,GS건설,35200.0,60.5,88.9,0.0,100.0,39.8,100.0,62.0,25.7,-21.5,watch,28929.01,21090.28
13,051900,LG생활건강,314000.0,57.9,55.1,35.9,100.0,44.6,76.5,67.9,30.6,-6.4,watch,280831.06,239369.89
14,375500,DL이앤씨,73700.0,57.8,70.7,0.0,100.0,34.5,99.3,61.8,23.9,-30.9,watch,64629.41,53291.17
15,068270,셀트리온,202000.0,56.8,19.5,0.0,84.5,59.8,91.5,64.1,16.9,-15.6,watch,185510.75,164899.18
16,003550,LG,109600.0,56.1,48.0,0.0,68.5,49.7,91.5,59.9,13.7,-41.0,watch,98240.09,84040.2
17,018260,삼성에스디에스,235500.0,55.3,73.3,0.0,100.0,32.0,94.6,60.6,22.0,-39.4,watch,204966.63,166799.92
18,010950,S-Oil,141500.0,53.7,100.0,0.0,38.4,30.3,89.7,59.4,7.7,-20.1,watch,122675.87,99145.7
19,010060,OCI홀딩스,256000.0,53.2,98.1,0.0,100.0,49.2,76.8,56.2,39.1,-38.2,watch,193654.18,115721.9
20,028670,팬오션,5800.0,53.2,61.5,0.0,67.5,40.8,87.9,59.0,13.5,-12.1,watch,5120.37,4270.84
21,006400,삼성SDI,485500.0,52.5,44.8,0.0,67.8,53.3,81.8,57.5,13.6,-32.8,watch,414068.76,324779.72
22,090430,아모레퍼시픽,135700.0,52.3,19.6,0.0,65.4,43.8,90.3,59.6,13.1,-17.4,watch,121496.47,103742.06
23,028050,삼성E&A,49300.0,50.5,95.9,0.0,100.0,31.5,80.7,57.2,22.8,-26.7,watch,42687.97,34422.93
24,047040,대우건설,17830.0,49.7,63.3,0.0,63.2,45.0,77.4,56.4,12.6,-55.8,watch,14551.66,10453.74
25,036570,NC,246500.0,49.5,19.5,0.0,41.8,77.1,66.7,53.7,8.4,-28.2,watch,218213.84,182856.13
26,088350,한화생명,4700.0,49.5,40.9,0.0,45.9,54.5,75.6,55.9,9.2,-37.8,watch,4212.43,3602.96
27,062040,산일전기,189100.0,47.7,15.9,0.0,60.8,57.7,73.2,55.3,12.2,-44.5,watch,155605.89,113738.26
28,096770,SK이노베이션,122400.0,46.6,22.2,0.0,83.4,35.4,81.1,57.3,16.7,-21.2,watch,105808.62,85069.4
29,006260,LS,337000.0,46.6,49.3,0.0,76.1,47.1,70.9,54.7,15.2,-44.2,watch,275323.0,198226.74
30,008930,한미사이언스,43750.0,46.5,47.6,0.0,100.0,58.0,64.4,70.9,36.5,-21.2,watch,38425.33,31769.48
