rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,483650,달바글로벌,259500.0,71.7,100.0,45.4,46.3,66.2,85.6,65.6,9.3,-5.5,watch,217052.45,163993.02
2,017670,SK텔레콤,97900.0,68.3,97.0,0.0,40.3,100.0,85.6,58.4,8.1,-29.8,watch,84690.44,68178.49
3,316140,우리금융지주,33100.0,67.1,24.8,0.0,83.8,100.0,92.3,63.9,16.8,-20.2,watch,30176.8,26522.79
4,033780,KT&G,182600.0,58.1,49.1,49.1,45.4,32.5,78.6,56.7,9.1,-5.1,watch,168810.5,151573.62
5,078930,GS,91600.0,57.6,86.7,17.8,100.0,40.9,83.2,66.2,46.6,-8.2,watch,80166.92,65875.56
6,018260,삼성에스디에스,217500.0,57.5,61.9,0.0,72.7,80.7,75.8,56.0,14.5,-44.0,watch,185761.22,146087.75
7,001450,현대해상,39750.0,54.2,78.1,0.0,77.8,35.3,90.2,59.5,15.6,-10.2,watch,35227.7,29574.83
8,010950,S-Oil,136400.0,51.3,100.0,0.0,100.0,46.1,73.8,55.5,46.4,-23.0,watch,118001.76,95003.96
9,086790,하나금융지주,130600.0,50.8,69.8,16.5,95.3,35.6,73.9,55.5,19.1,-8.4,watch,117503.06,101131.89
10,003690,코리안리,13950.0,50.8,44.3,5.8,52.3,37.3,84.1,58.0,10.5,-9.4,watch,12743.29,11234.91
11,009970,영원무역홀딩스,203500.0,50.3,5.6,0.0,100.0,27.3,95.9,63.0,23.6,-22.3,watch,182447.36,156131.57
12,005830,DB손해보험,163400.0,49.6,34.4,0.0,100.0,22.5,92.7,60.2,24.3,-23.6,watch,147038.46,126586.54
13,175330,JB금융지주,28750.0,49.5,21.0,0.0,100.0,31.9,89.3,59.3,25.8,-25.3,watch,25279.98,20942.46
14,028050,삼성E&A,47650.0,47.0,98.2,0.0,74.8,35.8,70.6,54.6,15.0,-29.2,watch,40058.99,30570.24
15,055550,신한지주,105000.0,46.0,62.8,26.7,73.1,24.7,64.9,53.2,14.6,-7.3,watch,94236.12,80781.27
16,138040,메리츠금융지주,125600.0,44.3,32.0,0.0,100.0,40.2,71.5,69.1,24.9,-16.2,watch,115412.34,102677.77
17,010060,OCI홀딩스,206000.0,43.5,50.5,0.0,30.9,98.6,37.1,46.3,6.2,-50.2,watch,144062.83,66641.36
18,011200,HMM,20650.0,43.1,4.1,0.0,63.9,38.0,75.2,55.8,12.8,-17.2,watch,18839.77,16576.99
19,028670,팬오션,5240.0,40.5,37.1,0.0,72.1,30.8,67.9,54.0,14.4,-20.6,watch,4716.95,4063.14
20,161390,한국타이어앤테크놀로지,69800.0,40.4,42.2,0.0,62.9,54.7,54.2,50.6,12.6,-11.0,watch,59973.67,47690.76
21,021240,코웨이,92300.0,39.4,29.8,18.4,38.5,34.1,55.3,50.8,7.7,-8.2,watch,82446.82,70130.35
22,006360,GS건설,29100.0,39.2,65.6,0.0,100.0,42.1,53.6,50.4,24.9,-35.1,watch,22895.23,15139.26
23,105560,KB금융,172600.0,39.1,70.3,0.0,78.0,24.8,62.9,52.7,15.6,-11.3,watch,154618.25,132141.06
24,139130,iM금융지주,18090.0,38.6,36.2,0.0,71.4,28.3,65.1,53.3,14.3,-17.8,watch,16407.57,14304.54
25,383220,F&F,77800.0,38.3,29.7,0.0,29.3,46.0,56.9,51.2,5.9,-12.6,watch,68861.87,57689.2
26,000810,삼성화재,645000.0,37.6,81.6,0.0,7.1,30.1,56.8,51.2,1.4,-14.8,watch,563847.84,462407.65
27,138930,BNK금융지주,18120.0,36.8,23.7,0.0,70.5,20.2,67.3,53.8,14.1,-21.4,watch,16428.06,14313.14
28,003490,대한항공,26450.0,35.9,37.2,0.0,0.0,51.4,48.2,49.0,-5.7,-15.2,watch,23726.4,20321.9
29,241560,두산밥캣,64200.0,34.5,11.9,0.0,34.1,37.7,55.4,50.8,6.8,-19.4,watch,56351.73,46541.4
30,088350,한화생명,4555.0,33.5,42.8,0.0,15.3,37.8,48.7,49.2,3.1,-39.7,watch,4015.69,3341.55
