rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,000500,가온전선,234500.0,92.3,100.0,100.0,100.0,100.0,78.2,67.4,58.8,2.9,buy,196425.66,148832.73
2,375500,DL이앤씨,78000.0,91.5,83.1,100.0,41.7,90.4,89.7,64.6,8.3,2.0,buy,69538.52,58961.68
3,336260,두산퓨얼셀,49900.0,91.0,17.0,100.0,100.0,100.0,99.3,62.2,63.3,5.2,buy,39500.16,26500.36
4,003550,LG,124500.0,87.1,84.1,100.0,75.9,44.8,75.6,68.1,15.2,1.6,watch,114064.05,101019.12
5,096770,SK이노베이션,137900.0,86.7,63.3,87.8,73.2,25.2,98.5,61.6,14.6,-1.2,watch,121239.25,100413.31
6,034730,SK,611000.0,85.4,100.0,85.5,100.0,48.5,81.5,57.4,20.3,-1.5,watch,528643.6,425698.1
7,000660,SK하이닉스,1783000.0,85.0,89.2,95.0,100.0,45.8,71.5,54.9,25.4,-0.5,watch,1524075.81,1200420.58
8,180640,한진칼,148900.0,83.1,53.5,100.0,100.0,88.8,66.9,70.3,25.2,1.4,buy,132404.15,111784.34
9,055550,신한지주,113900.0,82.1,70.6,82.7,17.7,33.6,97.1,61.3,3.5,-1.7,watch,105510.42,95023.45
10,018260,삼성에스디에스,242500.0,81.6,84.3,85.8,47.4,32.1,83.7,57.9,9.5,-1.4,watch,216973.08,185064.44
11,086790,하나금융지주,138900.0,80.3,70.5,84.4,15.6,35.6,89.9,59.5,3.1,-1.6,watch,128025.45,114432.27
12,003490,대한항공,30350.0,77.6,62.3,95.1,58.9,56.8,63.2,71.2,11.8,-0.5,watch,28140.92,25379.57
13,010950,S-Oil,157600.0,73.1,100.0,56.9,72.7,26.5,90.0,64.5,14.5,-4.3,watch,138642.04,114944.6
14,105560,KB금융,175900.0,69.1,54.5,73.4,0.3,28.5,80.3,57.1,0.1,-2.7,watch,162852.36,146542.82
15,078930,GS,125600.0,68.3,100.0,42.9,100.0,27.3,90.9,64.3,27.0,-5.7,watch,109236.37,88781.83
16,282330,BGF리테일,150200.0,68.3,72.4,59.1,0.0,23.5,91.7,59.9,-1.9,-4.1,watch,136576.58,119547.31
17,062040,산일전기,198900.0,67.2,36.6,58.6,100.0,52.4,84.1,58.0,26.4,-4.1,watch,172138.31,138686.19
18,005935,삼성전자우,199600.0,65.9,97.9,50.5,86.7,39.1,75.8,56.0,17.3,-5.0,watch,175697.78,145820.0
19,138040,메리츠금융지주,133700.0,64.6,54.0,61.2,29.3,31.7,79.5,67.1,5.9,-3.9,watch,122443.07,108371.9
20,175330,JB금융지주,31400.0,63.3,46.1,51.5,44.2,60.1,86.8,65.3,8.8,-4.8,watch,28457.23,24778.76
21,001450,현대해상,51000.0,63.1,100.0,32.4,100.0,19.5,90.8,59.7,29.8,-6.8,watch,45654.11,38971.75
22,139130,iM금융지주,18650.0,62.4,32.5,56.4,21.8,40.5,86.3,58.6,4.4,-4.4,watch,17157.04,15290.84
23,028260,삼성물산,384000.0,62.1,50.6,60.0,70.6,37.4,69.0,54.2,14.1,-4.0,watch,334316.02,272211.04
24,008930,한미사이언스,54200.0,61.4,76.6,42.6,100.0,37.8,78.1,67.5,21.4,-5.7,watch,46783.98,37513.96
25,316140,우리금융지주,34200.0,60.5,29.9,60.7,0.0,46.7,78.8,56.7,-1.7,-3.9,watch,31531.66,28196.23
26,066570,LG전자,214000.0,59.4,100.0,24.4,78.4,85.5,88.9,59.2,15.7,-7.6,watch,187682.16,154784.86
27,005830,DB손해보험,192400.0,57.6,80.3,25.0,79.9,33.7,92.4,60.1,16.0,-7.5,watch,172177.04,146898.33
28,021240,코웨이,97700.0,57.6,52.6,60.7,10.4,35.7,63.2,52.8,2.1,-3.9,watch,89374.09,78966.69
29,005930,삼성전자,270000.0,55.1,76.6,37.5,84.4,43.0,68.7,54.2,16.9,-6.2,watch,237398.45,196646.51
30,032830,삼성생명,312000.0,54.8,68.4,48.3,66.2,28.1,59.8,51.9,13.2,-5.2,watch,268415.54,213934.96
