rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,086790,하나금융지주,136800.0,76.3,79.8,93.5,39.4,49.5,81.8,66.5,7.9,-0.7,watch,123429.95,106717.38
2,078930,GS,81800.0,68.8,76.2,43.5,61.0,47.3,93.6,60.4,12.2,-5.7,watch,71478.8,58577.3
3,105560,KB금융,181600.0,66.2,80.7,33.7,53.7,52.5,89.8,64.5,10.7,-6.6,watch,163433.4,140725.16
4,055550,신한지주,107300.0,63.9,69.6,47.0,20.4,43.6,84.6,58.2,4.1,-5.3,watch,96507.31,83016.44
5,042700,한미반도체,269500.0,57.3,71.5,0.0,0.0,100.0,65.3,53.3,-15.6,-36.7,watch,213815.13,144209.04
6,021240,코웨이,95700.0,57.3,36.6,52.2,21.2,29.0,79.5,56.9,4.2,-4.8,watch,84913.35,71430.03
7,353200,대덕전자,143200.0,55.7,100.0,0.0,0.0,80.2,68.3,54.1,-17.8,-27.7,watch,110297.48,69169.33
8,175330,JB금융지주,27900.0,55.2,13.0,0.0,11.9,76.1,82.1,57.5,2.4,-27.5,watch,24163.26,19492.33
9,010950,S-Oil,140400.0,55.1,86.1,0.0,100.0,59.8,77.2,67.7,27.9,-20.7,watch,123745.92,102928.32
10,005830,DB손해보험,162500.0,55.1,26.0,0.0,36.3,58.9,88.5,64.9,7.3,-24.1,watch,146921.33,127447.99
11,161890,한국콜마,107200.0,52.3,100.0,0.0,100.0,43.3,77.7,56.4,21.3,-14.0,watch,91271.83,71361.62
12,139130,iM금융지주,18130.0,51.4,36.5,0.0,8.7,68.8,73.8,55.5,1.7,-17.6,watch,16392.94,14221.62
13,161390,한국타이어앤테크놀로지,71500.0,51.3,50.1,12.0,27.3,39.8,80.2,57.1,5.5,-8.8,watch,62880.94,52107.11
14,003690,코리안리,13880.0,48.7,42.9,1.3,0.0,40.5,81.6,57.4,-0.4,-9.9,watch,12539.21,10863.23
15,000810,삼성화재,661000.0,45.4,85.6,0.0,0.0,37.3,70.2,54.6,-2.7,-12.7,watch,578190.65,474678.96
16,005940,NH투자증권,31100.0,44.1,50.2,0.0,0.0,68.0,55.8,51.0,-3.9,-27.0,watch,26974.06,21816.64
17,001450,현대해상,36950.0,41.6,64.4,0.0,0.0,51.0,57.3,51.3,-8.0,-16.5,watch,32511.35,26963.03
18,138930,BNK금융지주,18220.0,40.9,25.2,0.0,1.4,27.9,74.1,55.5,0.3,-21.0,watch,16372.23,14062.52
19,028670,팬오션,5220.0,39.7,39.6,0.0,0.0,33.2,66.4,53.6,-2.8,-20.9,watch,4596.03,3816.07
20,071050,한국금융지주,235000.0,39.1,48.9,0.0,0.0,45.7,56.8,51.2,-2.1,-21.8,watch,193379.48,141353.83
21,383220,F&F,78500.0,37.6,36.1,0.0,0.0,43.1,56.6,51.2,-5.4,-11.8,watch,68519.46,56043.78
22,016360,삼성증권,111100.0,36.7,60.7,0.0,0.0,51.9,46.3,48.6,-10.3,-31.8,watch,92931.73,70221.4
23,000500,가온전선,220500.0,36.6,100.0,0.0,81.8,24.3,52.8,50.2,16.4,-37.5,watch,149702.5,61205.63
24,278470,에이피알,385500.0,36.4,89.3,0.0,0.0,34.0,50.9,49.7,-5.6,-18.5,watch,327557.87,255130.21
25,006360,GS건설,28750.0,35.7,63.7,0.0,0.0,36.7,51.6,49.9,-2.4,-35.9,watch,23221.39,16310.62
26,402340,SK스퀘어,1382000.0,35.5,100.0,0.0,0.0,37.2,45.7,48.4,-13.4,-36.9,watch,1022397.27,572893.85
27,079550,LIG디펜스앤에어로스페이스,757000.0,34.8,78.3,0.0,0.0,40.1,45.6,48.4,-20.3,-32.3,watch,602109.72,408496.88
28,000660,SK하이닉스,2082000.0,32.7,100.0,0.0,0.0,45.2,34.9,45.7,-17.4,-30.3,watch,1603700.65,1005826.46
29,005935,삼성전자우,192000.0,32.6,100.0,0.0,0.0,33.6,40.9,47.2,-15.2,-21.1,watch,158127.55,115786.99
30,066570,LG전자,194000.0,32.1,100.0,0.0,0.0,37.3,37.7,46.4,-17.3,-55.7,watch,154149.37,104336.07
