rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,021240,코웨이,100000.0,75.9,53.7,83.3,48.2,35.2,97.8,61.5,9.6,-1.7,watch,91216.77,80237.73
2,047040,대우건설,19100.0,70.8,69.1,0.0,100.0,100.0,93.6,60.4,42.2,-52.7,watch,15992.98,12109.21
3,003490,대한항공,28150.0,70.4,41.6,2.2,57.4,100.0,96.9,62.8,11.5,-9.8,watch,25993.91,23298.79
4,003230,삼양식품,1507000.0,70.0,54.5,100.0,100.0,51.2,65.0,70.7,27.4,1.5,watch,1351627.56,1157412.0
5,006360,GS건설,37800.0,67.6,100.0,0.0,100.0,79.9,92.7,63.8,48.2,-15.7,watch,31900.31,24525.7
6,078930,GS,127700.0,66.1,100.0,100.0,100.0,55.2,47.2,75.2,45.9,3.2,watch,110937.52,89984.42
7,009420,한올바이오파마,63300.0,63.8,67.8,0.0,100.0,65.8,96.6,61.2,40.0,-13.3,watch,54072.34,42537.76
8,375500,DL이앤씨,73300.0,62.6,69.3,0.0,100.0,76.9,87.5,58.9,27.5,-31.2,watch,64662.56,53865.76
9,001450,현대해상,51500.0,61.7,97.0,100.0,100.0,27.9,52.4,73.9,33.9,1.0,watch,46412.14,40052.33
10,051900,LG생활건강,311000.0,59.8,67.6,27.0,100.0,21.8,96.3,61.1,21.7,-7.3,watch,283150.22,248338.0
11,005830,DB손해보험,186700.0,59.4,69.2,38.7,87.1,32.8,83.1,66.2,17.4,-6.1,watch,169334.04,147626.6
12,161890,한국콜마,148800.0,57.6,100.0,86.1,100.0,26.5,51.0,74.2,50.5,-1.4,watch,131182.98,109161.71
13,055550,신한지주,107400.0,57.2,57.5,47.9,32.2,36.3,74.3,55.6,6.4,-5.2,watch,98696.06,87816.14
14,086790,하나금융지주,133200.0,56.7,62.9,34.7,41.5,37.4,78.9,56.7,8.3,-6.5,watch,122257.31,108578.94
15,180640,한진칼,128800.0,55.9,18.9,0.0,90.8,43.9,97.9,62.5,18.2,-17.6,watch,114887.67,97497.25
16,090430,아모레퍼시픽,143500.0,55.9,40.3,22.2,100.0,37.9,85.4,65.6,20.8,-7.8,watch,131610.47,116748.57
17,088350,한화생명,5580.0,55.6,89.2,0.0,100.0,39.2,89.1,64.7,29.9,-12.1,watch,4968.76,4204.71
18,278470,에이피알,442000.0,55.5,97.3,34.5,100.0,34.5,70.9,69.3,32.5,-6.6,watch,390749.19,326685.68
19,443060,HD현대마린솔루션,220500.0,54.5,24.8,0.0,74.2,34.8,99.2,61.8,14.8,-23.2,watch,196789.08,167150.43
20,000810,삼성화재,680000.0,53.4,79.5,0.0,58.3,33.2,89.8,59.5,11.7,-10.2,watch,611478.96,525827.66
21,010950,S-Oil,141000.0,53.1,100.0,0.0,44.4,67.4,68.0,54.0,8.9,-20.4,watch,122120.12,98520.26
22,008930,한미사이언스,44400.0,52.6,64.5,0.0,100.0,68.9,69.8,54.5,30.8,-22.8,watch,36797.86,27295.19
23,003550,LG,114400.0,52.3,62.6,0.0,100.0,35.7,87.3,58.8,22.9,-38.5,watch,103232.91,89274.06
24,028050,삼성E&A,48250.0,50.6,80.3,0.0,46.4,62.7,67.8,54.0,9.3,-28.3,watch,42296.64,34854.93
25,012750,에스원,79900.0,50.6,2.7,0.0,52.6,32.9,95.3,63.2,10.5,-22.4,watch,74452.63,67643.43
26,006400,삼성SDI,516000.0,50.0,64.8,0.0,100.0,22.9,88.8,59.2,35.1,-28.6,watch,450617.62,368889.65
27,192820,코스맥스,288000.0,50.0,85.4,96.5,100.0,53.1,15.9,83.0,56.0,-0.3,watch,256520.98,217172.21
28,017670,SK텔레콤,99600.0,49.4,83.9,0.0,100.0,24.8,83.6,57.9,21.2,-28.6,watch,86477.72,70074.87
29,010060,OCI홀딩스,275500.0,48.8,100.0,0.0,100.0,22.6,80.9,57.2,49.3,-33.5,watch,220917.0,152688.26
30,085620,미래에셋생명,29100.0,48.6,100.0,0.0,100.0,81.8,48.6,74.9,94.9,-22.0,watch,24745.85,19303.16
