rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,033780,KT&G,188800.0,81.4,55.8,81.3,35.1,58.7,99.0,61.7,7.0,-1.9,watch,173887.2,155246.21
2,055550,신한지주,110000.0,79.2,71.0,70.9,23.8,56.8,98.7,62.3,4.8,-2.9,watch,99660.29,86735.65
3,282330,BGF리테일,153100.0,78.5,63.6,100.0,100.0,100.0,56.7,72.8,27.4,3.6,watch,137130.67,117169.01
4,010060,OCI홀딩스,272500.0,75.3,100.0,0.0,100.0,100.0,99.3,62.2,48.7,-34.2,watch,207954.74,127273.16
5,078930,GS,98900.0,71.5,100.0,70.6,100.0,34.2,87.0,65.2,30.8,-2.9,watch,84294.09,66036.71
6,086790,하나금융지주,134700.0,66.4,75.4,45.3,49.3,30.7,96.5,61.1,9.9,-5.5,watch,121887.46,105871.79
7,003690,코리안리,14530.0,65.7,53.7,43.5,43.4,36.7,96.1,63.0,8.7,-5.6,watch,13316.51,11799.64
8,028670,팬오션,6040.0,65.4,73.7,15.2,100.0,70.2,88.6,64.9,20.8,-8.5,watch,5334.84,4453.39
9,021240,코웨이,95700.0,59.9,38.6,52.2,62.9,35.9,80.3,57.1,12.6,-4.8,watch,86445.6,74877.6
10,375500,DL이앤씨,72000.0,57.2,64.3,0.0,81.6,48.5,91.9,60.0,16.3,-32.5,watch,61993.76,49485.97
11,010950,S-Oil,137600.0,56.4,100.0,0.0,15.4,61.0,79.9,57.0,3.1,-22.3,watch,119340.18,96515.41
12,138040,메리츠금융지주,126300.0,55.2,37.4,0.0,59.3,39.7,96.7,62.8,11.9,-15.7,watch,115458.6,101906.84
13,007340,DN오토모티브,47600.0,55.0,94.5,0.0,100.0,48.1,82.0,66.5,39.6,-12.2,watch,40982.84,32711.4
14,011200,HMM,21800.0,54.1,18.1,0.0,64.2,43.9,94.8,63.3,12.8,-12.6,watch,20001.49,17753.35
15,271560,오리온,137600.0,52.8,39.6,16.7,7.7,35.4,85.4,58.4,1.5,-8.3,watch,126026.5,111559.63
16,009970,영원무역홀딩스,206500.0,52.7,6.5,0.0,49.2,36.9,97.5,61.4,9.8,-21.2,watch,183981.46,155833.29
17,096770,SK이노베이션,120300.0,52.2,14.1,0.0,100.0,65.3,78.4,56.6,21.5,-22.6,watch,103331.98,82121.96
18,005830,DB손해보험,165900.0,51.6,39.0,0.0,66.2,33.7,91.5,59.9,13.2,-22.5,watch,149234.42,128402.44
19,018260,삼성에스디에스,221500.0,51.1,66.4,0.0,88.2,53.7,74.8,55.7,17.6,-43.0,watch,190074.85,150793.41
20,278470,에이피알,384500.0,51.0,65.7,0.0,26.0,51.7,77.5,56.4,5.2,-18.7,watch,330619.36,263268.56
21,090430,아모레퍼시픽,141800.0,50.4,29.6,0.0,100.0,57.6,76.3,67.9,21.9,-16.1,watch,127690.54,110053.71
22,006400,삼성SDI,459000.0,50.0,30.3,0.0,71.6,70.5,68.9,54.2,14.3,-36.5,watch,386823.71,296603.34
23,175330,JB금융지주,28850.0,49.6,21.1,0.0,79.3,34.3,88.9,59.2,15.9,-25.1,watch,25566.65,21462.47
24,003550,LG,108100.0,49.3,44.6,0.0,33.6,35.5,85.3,58.3,6.7,-41.9,watch,95863.22,80567.25
25,316140,우리금융지주,34800.0,48.7,37.3,0.0,79.0,49.3,76.2,68.0,15.8,-16.1,watch,31805.76,28062.96
26,006360,GS건설,31650.0,48.7,78.4,0.0,41.0,34.7,79.0,56.7,8.2,-29.4,watch,25237.35,17221.54
27,105560,KB금융,175800.0,48.1,70.4,3.9,12.8,30.0,80.1,57.0,2.6,-9.6,watch,158941.67,137868.76
28,483650,달바글로벌,246000.0,48.1,100.0,0.0,100.0,28.0,76.4,56.1,23.1,-10.7,watch,200695.51,144064.9
29,028050,삼성E&A,48100.0,47.8,92.2,0.0,71.9,38.1,72.2,55.0,14.4,-28.5,watch,40729.03,31515.33
30,068270,셀트리온,199300.0,46.7,13.8,0.0,75.7,50.4,74.7,68.3,15.1,-16.7,watch,183994.49,164862.59
