rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,078930,GS,96900.0,80.4,96.0,70.9,100.0,69.1,88.9,64.8,24.1,-2.9,watch,81749.79,62812.03
2,028670,팬오션,5640.0,67.4,54.4,0.0,70.9,100.0,89.1,59.3,14.2,-14.5,watch,4905.18,3986.65
3,007340,DN오토모티브,42850.0,57.0,89.8,0.0,71.3,47.6,88.4,59.1,14.3,-20.9,watch,36202.76,27893.72
4,021240,코웨이,94300.0,55.9,34.3,38.3,0.0,48.1,74.6,55.6,-0.7,-6.2,watch,84761.05,72837.37
5,018260,삼성에스디에스,219500.0,54.5,62.8,0.0,67.8,61.6,79.4,56.8,13.6,-43.5,watch,188029.08,148690.42
6,010060,OCI홀딩스,225000.0,53.8,69.3,0.0,66.2,84.0,64.7,53.2,13.2,-45.7,watch,163581.16,86807.6
7,079550,LIG디펜스앤에어로스페이스,801000.0,53.6,83.0,0.0,0.0,58.0,77.9,56.5,-1.7,-28.4,watch,649623.18,460402.15
8,006360,GS건설,28750.0,52.5,53.5,0.0,0.0,89.9,62.6,52.7,-6.0,-35.9,watch,22270.25,14170.57
9,028050,삼성E&A,47750.0,52.2,93.5,0.0,0.0,58.0,73.4,55.3,-1.1,-29.0,watch,39922.59,30138.32
10,017670,SK텔레콤,91400.0,51.4,70.6,0.0,30.2,77.5,63.6,52.9,6.0,-34.5,watch,76703.2,58332.2
11,316140,우리금융지주,33200.0,51.1,25.4,0.0,32.9,32.8,93.7,60.4,6.6,-20.0,watch,30112.02,26252.05
12,483650,달바글로벌,239500.0,49.9,100.0,0.0,49.3,49.9,70.0,54.5,9.9,-13.1,watch,191694.12,131936.78
13,011200,HMM,21200.0,48.5,11.0,0.0,47.0,35.6,88.1,59.0,9.4,-15.0,watch,19276.14,16871.32
14,001450,현대해상,36800.0,45.9,58.0,0.0,1.4,100.0,41.4,47.3,0.3,-16.8,watch,31864.32,25694.72
15,009420,한올바이오파마,52000.0,45.7,5.8,0.0,0.0,75.9,61.9,52.5,-7.0,-28.8,watch,42243.8,30048.55
16,375500,DL이앤씨,66000.0,45.4,41.9,0.0,0.0,53.1,68.2,54.0,-0.9,-38.1,watch,55422.62,42200.88
17,138040,메리츠금융지주,119500.0,44.5,21.7,0.0,31.6,47.5,71.2,54.8,6.3,-20.2,watch,108162.26,93990.09
18,161890,한국콜마,101300.0,44.3,100.0,0.0,0.0,48.7,59.4,51.8,-12.9,-18.7,watch,85672.02,66137.04
19,278470,에이피알,359500.0,40.2,50.0,0.0,0.0,63.4,49.5,49.4,-5.0,-24.0,watch,308018.68,243667.02
20,180640,한진칼,120400.0,40.0,6.9,0.0,0.0,32.2,72.3,55.1,-8.2,-31.6,watch,103194.33,81687.25
21,003690,코리안리,13740.0,38.2,39.0,0.0,5.1,27.2,66.0,53.5,1.0,-10.8,watch,12488.43,10923.96
22,010120,LS ELECTRIC,197000.0,36.8,74.0,0.0,0.0,41.6,50.0,49.5,-9.8,-41.2,watch,153298.28,98671.13
23,086790,하나금융지주,127600.0,36.4,61.4,0.0,11.2,25.2,59.6,51.9,2.2,-10.5,watch,114109.33,97245.99
24,003550,LG,102000.0,36.3,30.4,0.0,4.0,31.5,60.9,52.2,0.8,-45.1,watch,89170.72,73134.13
25,000150,두산,1274000.0,35.4,37.1,0.0,0.0,38.5,54.0,50.5,-9.6,-48.8,watch,969280.54,588381.2
26,010950,S-Oil,125800.0,34.0,82.4,0.0,38.1,37.3,43.8,48.0,7.6,-29.0,watch,107549.14,84735.57
27,036570,NC,240500.0,34.0,14.6,0.0,0.0,27.1,60.5,52.1,-4.8,-30.0,watch,214212.69,181353.56
28,271560,오리온,132700.0,33.2,32.3,0.0,0.0,28.0,55.5,50.9,-3.1,-11.6,watch,120627.5,105536.88
29,055550,신한지주,102300.0,33.1,52.7,2.9,0.0,29.1,50.0,49.5,-5.0,-9.7,watch,91613.9,78256.27
30,105560,KB금융,168800.0,32.6,61.3,0.0,0.0,24.4,51.7,49.9,-1.2,-13.2,watch,150928.88,128589.98
