rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,033780,KT&G,185800.0,76.2,53.7,65.7,56.0,63.9,92.6,60.1,11.2,-3.4,watch,171738.65,154161.97
2,138040,메리츠금융지주,124100.0,66.3,30.8,0.0,80.4,82.6,99.3,62.2,16.1,-17.2,watch,112365.57,97697.52
3,316140,우리금융지주,32700.0,61.2,21.9,0.0,57.1,82.9,89.4,59.4,11.4,-21.2,watch,29449.24,25385.8
4,009970,영원무역홀딩스,204500.0,59.9,6.7,0.0,100.0,63.3,98.2,62.5,21.6,-21.9,watch,182688.03,155423.07
5,005830,DB손해보험,162900.0,58.4,35.4,0.0,98.5,79.7,81.5,57.4,19.7,-23.9,watch,145345.74,123402.91
6,078930,GS,86500.0,57.6,91.5,0.0,92.5,64.1,80.0,57.0,18.5,-13.3,watch,74219.72,58869.37
7,001450,현대해상,38750.0,57.4,75.0,0.0,63.2,88.1,69.8,54.4,12.6,-12.4,watch,33837.98,27697.95
8,483650,달바글로벌,233500.0,56.0,100.0,0.0,0.0,93.3,61.9,52.5,-3.3,-15.2,watch,185657.34,125854.01
9,271560,오리온,135300.0,52.5,39.2,1.4,0.0,67.5,76.2,56.0,-1.0,-9.9,watch,122464.44,106419.98
10,011200,HMM,20650.0,47.5,4.1,0.0,53.3,61.0,72.9,55.2,10.7,-17.2,watch,18754.7,16385.58
11,007340,DN오토모티브,38700.0,46.3,65.0,0.0,7.9,76.3,54.0,50.5,1.6,-28.6,watch,32188.48,24049.08
12,383220,F&F,78900.0,45.6,33.2,0.0,9.7,59.3,66.3,53.6,1.9,-11.3,watch,69738.45,58286.52
13,003690,코리안리,13500.0,45.3,35.2,0.0,29.0,82.1,52.4,50.1,5.8,-12.3,watch,12219.59,10619.08
14,081660,미스토홀딩스,45550.0,41.4,17.1,0.0,28.4,43.9,67.1,53.8,5.7,-18.4,watch,40428.0,34025.49
15,010950,S-Oil,130100.0,40.6,94.3,0.0,93.5,38.3,54.9,50.7,18.7,-26.5,watch,111514.13,88281.79
16,000810,삼성화재,618000.0,40.0,66.7,0.0,0.0,71.0,42.5,47.6,-0.8,-18.4,watch,534262.65,429590.96
17,021240,코웨이,91200.0,39.3,26.2,7.5,0.0,61.8,47.7,48.9,-4.0,-9.3,watch,81215.44,68734.74
18,105560,KB금융,167400.0,37.3,61.1,0.0,28.1,52.0,46.8,48.7,5.6,-13.9,watch,148114.54,124007.71
19,018260,삼성에스디에스,198700.0,36.0,35.2,0.0,3.3,58.3,44.9,48.2,0.7,-48.9,watch,165990.71,125104.09
20,086790,하나금융지주,124600.0,35.3,56.4,0.0,35.2,51.5,42.9,47.7,7.0,-12.6,watch,110118.16,92015.86
21,055550,신한지주,100800.0,32.8,51.0,0.0,22.8,51.3,38.5,46.6,4.6,-11.0,watch,89274.62,74867.89
22,161390,한국타이어앤테크놀로지,65100.0,27.0,23.5,0.0,18.3,57.8,26.1,43.5,3.7,-17.0,watch,55511.28,43525.38
23,028050,삼성E&A,41000.0,26.1,54.5,0.0,0.0,45.2,26.8,43.7,-20.7,-39.1,watch,32937.27,22858.85
24,161890,한국콜마,93200.0,24.6,86.4,0.0,0.0,39.4,21.6,42.4,-12.7,-25.2,watch,77274.2,57366.95
25,009150,삼성전기,879000.0,20.4,53.4,0.0,0.0,70.8,0.0,29.3,-60.1,-63.6,watch,506354.27,40547.1
26,034730,SK,468500.0,14.7,61.6,0.0,0.0,44.9,0.0,34.1,-38.6,-46.9,watch,342716.09,185486.2
