rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,028670,팬오션,6380.0,78.3,89.5,66.7,100.0,70.7,86.5,65.4,21.8,-3.3,watch,5688.39,4823.87
2,021240,코웨이,98700.0,71.6,49.4,70.5,34.7,49.0,88.7,59.2,6.9,-2.9,watch,89656.52,78352.17
3,078930,GS,121800.0,71.0,100.0,100.0,100.0,52.8,59.7,72.1,33.0,0.3,watch,105963.48,86167.83
4,000880,한화,118100.0,69.8,19.4,0.0,80.6,100.0,99.5,62.1,16.1,-29.0,watch,96733.96,70026.4
5,008930,한미사이언스,46300.0,66.1,65.3,0.0,100.0,100.0,83.7,57.9,30.4,-19.5,watch,38597.7,28969.82
6,003230,삼양식품,1430000.0,64.9,50.1,63.6,86.1,36.8,82.6,66.4,17.2,-3.6,watch,1278983.52,1090212.93
7,161890,한국콜마,150000.0,63.7,100.0,100.0,100.0,49.0,45.1,75.7,46.3,4.2,watch,131889.37,109251.07
8,278470,에이피알,440500.0,63.5,95.3,31.3,100.0,69.8,72.2,69.0,24.3,-6.9,watch,387922.21,322199.97
9,051900,LG생활건강,316000.0,63.1,66.8,41.9,100.0,35.2,88.4,64.9,23.4,-5.8,watch,287546.39,251979.38
10,001450,현대해상,50800.0,61.4,94.4,100.0,100.0,19.4,56.8,72.8,27.8,0.0,watch,45720.77,39371.74
11,011200,HMM,22650.0,60.3,31.0,7.8,48.4,57.1,96.0,61.0,9.7,-9.2,watch,20703.47,18270.31
12,090430,아모레퍼시픽,143300.0,57.1,39.1,12.2,80.2,53.3,86.2,65.5,16.0,-8.8,watch,131511.28,116775.38
13,088350,한화생명,5370.0,56.2,77.8,0.0,89.5,31.6,96.6,61.2,17.9,-15.4,watch,4754.82,3985.84
14,006400,삼성SDI,519000.0,55.7,65.3,0.0,100.0,41.7,91.6,59.9,20.4,-28.2,watch,451357.44,366804.24
15,005830,DB손해보험,182500.0,54.2,62.5,0.0,58.4,34.8,93.5,63.6,11.7,-12.5,watch,164921.28,142947.88
16,055550,신한지주,106500.0,53.0,55.5,40.0,7.1,39.4,68.4,54.1,1.4,-6.0,watch,97664.99,86621.22
17,085620,미래에셋생명,29150.0,52.5,100.0,0.0,100.0,99.6,47.7,75.1,77.7,-21.8,watch,24876.3,19534.17
18,012750,에스원,79800.0,52.3,2.0,0.0,44.3,39.0,96.2,62.9,8.9,-22.5,watch,74256.68,67327.54
19,006360,GS건설,35000.0,52.3,99.1,0.0,100.0,28.8,85.6,58.4,20.3,-22.0,watch,29204.18,21959.41
20,009420,한올바이오파마,60700.0,52.1,54.7,0.0,100.0,42.9,84.2,58.0,27.8,-16.8,watch,51424.06,39829.13
21,138040,메리츠금융지주,120800.0,51.9,25.1,25.0,0.0,48.4,74.1,55.5,-3.8,-7.5,watch,110957.8,98655.06
22,005935,삼성전자우,194500.0,50.7,99.0,0.0,40.9,62.8,65.2,53.3,8.2,-20.1,watch,163701.12,125202.53
23,017670,SK텔레콤,98900.0,50.0,82.9,0.0,5.1,37.8,80.6,57.2,1.0,-29.1,watch,85352.93,68419.09
24,010060,OCI홀딩스,275000.0,49.1,100.0,0.0,100.0,24.9,80.4,57.1,33.5,-33.6,watch,218679.85,148279.66
25,003550,LG,112600.0,47.3,57.5,0.0,76.3,31.3,79.8,56.9,15.3,-39.4,watch,101220.06,86995.14
26,192820,코스맥스,289000.0,46.6,82.8,100.0,100.0,42.3,12.4,83.9,50.1,0.3,watch,258022.59,219300.84
27,086790,하나금융지주,130800.0,45.8,58.2,17.9,0.8,35.1,66.5,53.6,0.2,-8.2,watch,119430.95,105219.63
28,066570,LG전자,200500.0,44.4,100.0,0.0,81.8,23.5,70.9,54.7,16.4,-54.2,watch,172319.17,137093.14
29,375500,DL이앤씨,70300.0,43.8,57.3,0.0,50.1,39.8,68.1,54.0,10.0,-34.1,watch,61690.45,50928.51
30,007340,DN오토모티브,48550.0,43.5,100.0,0.0,100.0,29.2,65.3,53.3,26.6,-28.1,watch,39423.79,28016.02
