rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,000150,두산,1384000.0,88.4,43.5,99.3,80.1,60.5,90.7,59.7,16.0,-0.1,watch,1190292.43,948157.98
2,021240,코웨이,107600.0,87.5,75.1,100.0,75.4,65.8,77.9,67.5,15.1,3.5,watch,98537.54,87209.46
3,175330,JB금융지주,32950.0,85.2,61.9,95.5,100.0,66.6,78.1,67.5,21.1,-0.5,watch,30119.02,26580.28
4,000990,DB하이텍,126200.0,84.5,27.1,100.0,100.0,81.0,79.4,67.2,34.8,5.2,watch,109653.58,88970.55
5,316140,우리금융지주,36300.0,78.1,42.9,82.4,41.8,34.8,91.1,64.2,8.4,-1.8,watch,33699.07,30447.91
6,105560,KB금융,177000.0,69.2,51.5,74.1,31.9,42.8,75.2,55.8,6.4,-2.6,watch,164949.64,149886.69
7,375500,DL이앤씨,86600.0,69.2,100.0,55.8,100.0,64.4,73.6,68.6,20.6,-4.4,watch,77794.39,66787.39
8,003690,코리안리,15120.0,69.2,61.3,65.5,6.4,51.5,86.4,58.6,1.3,-3.4,watch,14170.67,12984.01
9,028050,삼성E&A,50200.0,69.0,78.7,69.1,17.5,35.4,75.5,55.9,3.5,-3.1,watch,45115.25,38759.32
10,055550,신한지주,112600.0,67.2,62.9,66.5,36.2,35.5,75.8,56.0,7.2,-3.3,watch,104808.07,95068.16
11,086790,하나금융지주,137200.0,65.3,61.9,66.2,38.0,38.5,70.9,54.7,7.6,-3.4,watch,127262.03,114839.56
12,090430,아모레퍼시픽,144900.0,63.3,40.8,50.2,44.3,27.6,92.3,60.1,8.9,-5.0,watch,133005.82,118138.1
13,003490,대한항공,29250.0,61.4,52.3,46.6,83.8,22.7,83.2,57.8,16.8,-5.3,watch,27148.6,24521.85
14,192820,코스맥스,280500.0,55.7,100.0,15.2,70.1,26.7,96.0,63.0,14.0,-8.5,watch,249562.59,210890.83
15,012750,에스원,83500.0,55.4,16.3,38.2,42.2,32.6,93.0,60.3,8.4,-6.2,watch,76744.81,68300.83
16,443060,HD현대마린솔루션,234500.0,55.3,50.4,23.2,59.7,43.4,99.2,61.8,11.9,-7.7,watch,208810.45,176698.51
17,006360,GS건설,36800.0,55.2,100.0,35.2,26.5,21.7,74.8,55.7,5.3,-6.5,watch,31662.26,25240.08
18,161890,한국콜마,150200.0,53.2,100.0,5.4,87.6,38.6,98.5,62.4,17.5,-9.5,watch,133593.6,112835.6
19,139130,iM금융지주,18450.0,51.9,30.0,46.2,31.4,38.9,69.8,54.5,6.3,-5.4,watch,17104.19,15421.92
20,000500,가온전선,247000.0,51.8,100.0,0.0,100.0,45.4,99.4,62.1,56.5,-10.2,watch,206568.23,156028.52
21,000810,삼성화재,664000.0,51.2,73.9,41.8,41.6,29.1,59.8,51.9,8.3,-5.8,watch,600209.24,520470.78
22,000660,SK하이닉스,1757000.0,48.5,77.3,29.6,85.7,40.1,60.3,52.1,17.1,-7.0,watch,1530855.79,1248175.53
23,005935,삼성전자우,194300.0,46.3,83.9,25.2,59.3,45.4,61.0,52.2,11.9,-7.5,watch,172976.16,146321.36
24,009150,삼성전기,1372000.0,43.0,100.0,30.2,0.0,36.5,49.4,49.4,-1.1,-7.0,watch,1183182.87,947161.47
25,006400,삼성SDI,546000.0,41.7,73.2,10.0,60.6,33.4,71.9,55.0,12.1,-9.0,watch,486809.63,412821.66
26,088350,한화생명,5870.0,41.5,97.7,0.0,49.6,18.8,79.9,57.0,9.9,-10.4,watch,5243.7,4460.83
27,336260,두산퓨얼셀,51600.0,40.8,28.7,0.0,100.0,32.9,90.2,59.6,29.6,-12.5,watch,41543.09,28971.95
28,128940,한미약품,501000.0,40.2,21.3,0.0,100.0,37.2,90.5,59.6,29.0,-11.2,watch,439195.4,361939.64
29,008930,한미사이언스,50700.0,37.5,79.9,0.0,61.5,12.8,72.7,55.2,12.3,-16.9,watch,42958.83,33282.36
30,051900,LG생활건강,300000.0,36.8,51.0,17.4,0.0,43.6,62.6,52.6,-0.7,-8.3,watch,273819.64,241094.19
