rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,138040,메리츠금융지주,125400.0,82.1,35.1,79.7,21.2,67.8,100.0,62.0,4.2,-2.0,watch,115695.26,103564.34
2,010950,S-Oil,151700.0,81.0,100.0,64.4,100.0,58.5,98.9,61.7,24.7,-3.6,watch,132886.88,109370.47
3,055550,신한지주,111100.0,80.2,65.7,80.6,40.9,56.1,96.2,61.0,8.2,-1.9,watch,103012.17,92902.37
4,086790,하나금융지주,137400.0,78.4,70.3,64.2,41.4,58.0,99.7,62.1,8.3,-3.6,watch,126892.05,113757.12
5,001450,현대해상,53400.0,73.8,100.0,100.0,100.0,40.3,72.7,68.8,43.2,0.8,watch,47987.01,41220.77
6,005830,DB손해보험,192600.0,73.7,79.0,68.3,100.0,54.4,85.7,65.6,23.0,-3.2,watch,172338.81,147012.31
7,316140,우리금융지주,34550.0,71.6,34.2,53.1,18.0,52.0,99.6,61.9,3.6,-4.7,watch,32073.27,28977.35
8,096770,SK이노베이션,135300.0,71.5,56.0,0.0,100.0,100.0,97.2,61.3,25.3,-12.9,watch,117786.11,95893.75
9,282330,BGF리테일,150900.0,71.4,74.2,63.6,100.0,26.6,98.8,62.3,23.7,-3.6,watch,136761.14,119087.56
10,139130,iM금융지주,18960.0,70.0,35.9,69.8,59.0,59.7,81.1,66.7,11.8,-3.0,watch,17511.93,15701.84
11,003230,삼양식품,1492000.0,67.5,61.4,58.3,100.0,34.4,90.5,64.4,29.6,-4.2,watch,1344483.38,1160087.61
12,066970,엘앤에프,131200.0,65.2,2.2,0.0,100.0,92.0,95.5,63.1,80.5,-41.7,watch,110662.18,84989.91
13,088350,한화생명,5920.0,63.8,98.4,32.3,100.0,48.7,83.4,66.2,39.8,-6.8,watch,5278.37,4476.34
14,090430,아모레퍼시픽,146300.0,61.0,47.6,40.2,63.6,25.8,93.4,63.6,12.7,-6.0,watch,133929.71,118466.85
15,078930,GS,124700.0,60.9,100.0,36.2,100.0,32.3,83.1,66.2,47.4,-6.4,watch,107426.62,85834.89
16,003490,대한항공,28750.0,60.5,47.2,21.5,48.7,44.0,93.3,63.7,9.7,-7.9,watch,26642.47,24008.05
17,006400,삼성SDI,569000.0,59.8,94.3,0.0,100.0,61.0,86.2,65.5,46.1,-21.3,watch,501584.23,417314.53
18,278470,에이피알,432500.0,59.0,97.3,14.4,100.0,39.1,87.8,58.9,28.0,-8.6,watch,379346.44,312904.48
19,018260,삼성에스디에스,245000.0,57.8,83.8,0.0,100.0,30.1,99.8,61.9,20.7,-36.9,watch,218993.07,186484.4
20,000500,가온전선,208500.0,57.7,100.0,0.0,100.0,29.5,97.6,61.4,53.8,-40.9,watch,171872.93,126089.1
21,161890,한국콜마,155000.0,56.1,100.0,34.3,100.0,39.4,69.5,69.6,60.1,-6.6,watch,136125.81,112533.06
22,175330,JB금융지주,29250.0,55.0,24.8,8.4,39.7,51.7,87.6,58.9,7.9,-9.2,watch,26527.21,23123.71
23,021240,코웨이,97800.0,54.9,50.7,61.7,30.4,24.5,68.9,54.2,6.1,-3.8,watch,88941.3,77867.92
24,003550,LG,120300.0,54.1,78.4,0.0,100.0,38.0,87.9,65.0,20.7,-35.3,watch,109298.22,95545.99
25,192820,코스맥스,287000.0,54.0,96.3,37.9,100.0,35.7,65.2,70.7,54.7,-6.2,watch,254032.79,212823.78
26,012750,에스원,81400.0,53.2,9.5,0.0,66.1,48.5,91.4,59.9,13.2,-21.0,watch,74710.99,66349.73
27,004800,효성,172500.0,53.2,31.6,0.0,100.0,46.3,88.3,59.1,20.5,-45.8,watch,154340.51,131641.15
28,034730,SK,586000.0,49.2,99.9,0.0,60.2,52.5,66.8,53.7,12.0,-33.6,watch,501357.4,395554.14
29,180640,한진칼,129800.0,48.9,21.9,3.3,45.4,21.9,93.0,60.2,9.1,-9.7,watch,116136.73,99057.64
30,000810,삼성화재,677000.0,48.8,82.0,0.0,49.5,29.7,81.2,57.3,9.9,-10.6,watch,612065.45,530897.27
