rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,078930,GS,95000.0,75.5,97.5,51.9,93.0,48.9,99.1,62.2,18.6,-4.8,watch,79674.81,60518.31
2,028670,팬오션,5860.0,66.8,65.0,0.0,75.6,76.7,98.4,62.4,15.1,-11.2,watch,5120.52,4196.17
3,018260,삼성에스디에스,230500.0,60.7,68.0,0.0,62.2,57.9,94.7,60.7,12.4,-40.7,watch,198634.14,158801.82
4,375500,DL이앤씨,70900.0,59.2,60.3,0.0,48.8,66.9,88.0,59.0,9.8,-33.5,watch,60349.57,47161.53
5,010060,OCI홀딩스,246000.0,58.3,93.2,0.0,100.0,63.2,81.5,57.4,24.3,-40.6,watch,184468.22,107553.49
6,267270,HD건설기계,141900.0,58.2,31.2,0.0,62.6,74.0,85.9,58.5,12.5,-34.8,watch,118904.53,90160.19
7,006360,GS건설,31150.0,57.2,74.7,0.0,4.0,74.8,78.3,56.6,0.8,-30.5,watch,24511.66,16213.74
8,007340,DN오토모티브,46400.0,56.1,91.0,0.0,100.0,43.1,87.7,65.1,26.8,-14.4,watch,39706.14,31338.81
9,028050,삼성E&A,49100.0,54.8,100.0,0.0,16.3,51.0,81.5,57.4,3.3,-27.0,watch,41467.4,31926.65
10,068270,셀트리온,190300.0,54.3,1.0,0.0,34.0,41.6,99.9,62.0,6.8,-20.5,watch,174559.88,154884.72
11,316140,우리금융지주,33350.0,52.2,26.2,0.0,28.5,32.0,96.7,61.2,5.7,-19.6,watch,30304.02,26496.54
12,017670,SK텔레콤,93000.0,50.2,75.0,0.0,45.8,59.0,69.8,54.4,9.2,-33.3,watch,78067.26,59401.33
13,278470,에이피알,357500.0,47.7,47.0,0.0,0.0,100.0,47.2,48.8,-12.8,-24.4,watch,303981.63,237083.66
14,003550,LG,106800.0,47.6,42.1,0.0,22.0,34.6,82.5,57.6,4.4,-42.5,watch,93958.53,77906.69
15,003490,대한항공,26900.0,47.4,33.9,0.0,0.0,65.7,67.2,53.8,-7.7,-13.8,watch,24228.78,20889.76
16,064400,LG씨엔에스,73300.0,47.4,9.5,0.0,0.0,67.5,69.7,54.4,-0.9,-52.2,watch,61741.35,47293.04
17,011200,HMM,21100.0,47.2,9.6,0.0,38.3,39.2,83.7,57.9,7.7,-15.4,watch,19213.56,16855.51
18,079550,LIG디펜스앤에어로스페이스,798000.0,47.0,80.9,0.0,0.0,33.2,76.7,56.2,-0.1,-28.6,watch,653007.24,471766.28
19,021240,코웨이,92800.0,46.6,29.2,23.4,0.0,52.9,59.9,52.0,-4.1,-7.7,watch,83413.83,71681.13
20,180640,한진칼,122500.0,46.5,10.3,0.0,0.0,45.8,79.3,56.8,-8.4,-30.4,watch,104794.74,82663.16
21,138040,메리츠금융지주,120400.0,45.7,23.7,0.0,26.2,43.9,75.9,56.0,5.2,-19.6,watch,109172.1,95137.23
22,006260,LS,329000.0,45.6,47.1,0.0,0.0,56.9,65.8,53.4,-3.5,-45.5,watch,262486.69,179345.05
23,003690,코리안리,13830.0,45.1,40.2,0.0,4.7,45.6,71.5,54.9,0.9,-10.2,watch,12630.68,11131.54
24,298040,효성중공업,2985000.0,44.9,34.7,0.0,14.3,50.6,69.1,54.3,2.9,-37.1,watch,2401073.53,1671165.44
25,010120,LS ELECTRIC,212000.0,42.9,93.6,0.0,14.6,32.9,65.3,53.3,2.9,-36.7,watch,168919.83,115069.62
26,055550,신한지주,103600.0,41.5,55.1,14.4,0.0,33.3,60.1,52.0,-4.6,-8.6,watch,93048.62,79859.39
27,009150,삼성전기,1356000.0,40.3,100.0,0.0,0.0,52.6,48.2,49.1,-17.7,-43.9,watch,985752.06,522942.14
28,086790,하나금융지주,128600.0,40.3,62.8,2.5,6.7,28.4,65.4,53.3,1.3,-9.8,watch,115287.23,98646.27
29,066570,LG전자,179500.0,39.7,94.3,0.0,0.0,44.4,52.1,50.0,-5.1,-59.0,watch,147838.55,108261.74
30,483650,달바글로벌,232000.0,39.3,100.0,0.0,4.3,28.5,58.9,51.7,0.9,-15.8,watch,186037.4,128584.15
