rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,086790,하나금융지주,136800.0,74.8,79.8,78.5,42.4,58.4,81.8,66.5,8.5,-2.1,watch,123056.38,105876.86
2,078930,GS,82800.0,74.2,76.2,55.0,80.6,48.7,98.2,61.5,16.1,-4.5,watch,72616.03,59886.06
3,021240,코웨이,96700.0,71.2,39.9,62.2,31.3,65.7,84.9,58.2,6.3,-3.8,watch,86198.11,73070.74
4,055550,신한지주,107900.0,68.2,70.7,52.3,35.2,48.8,88.0,59.0,7.0,-4.8,watch,96821.07,82972.41
5,161390,한국타이어앤테크놀로지,73600.0,66.7,57.2,38.8,61.0,49.7,92.9,60.2,12.2,-6.1,watch,65096.59,54467.32
6,000810,삼성화재,701000.0,66.2,85.3,26.0,0.7,51.6,95.2,60.8,0.1,-7.4,watch,618105.6,514487.61
7,105560,KB금융,181100.0,63.5,80.9,31.1,55.2,38.8,92.4,63.9,11.0,-6.9,watch,162802.45,139930.5
8,111770,영원무역,86900.0,54.0,8.1,0.0,57.8,52.3,91.6,59.9,11.6,-15.8,watch,76390.54,63253.72
9,033780,KT&G,179900.0,53.0,46.9,35.0,0.0,48.8,67.7,53.9,-0.3,-6.5,watch,164646.38,145579.36
10,005830,DB손해보험,163000.0,51.5,26.9,0.0,43.7,46.0,87.0,65.3,8.7,-23.8,watch,147434.09,127976.7
11,139130,iM금융지주,18410.0,51.3,40.2,0.0,32.1,47.9,83.7,57.9,6.4,-16.3,watch,16669.87,14494.72
12,001450,현대해상,38300.0,51.2,73.5,0.0,0.0,52.0,77.2,56.3,-3.6,-13.4,watch,33785.53,28142.45
13,010950,S-Oil,144900.0,49.9,87.9,0.0,100.0,53.9,68.3,69.9,37.9,-18.2,watch,128578.35,108176.3
14,161890,한국콜마,107600.0,48.9,100.0,0.0,100.0,26.6,79.1,56.8,22.6,-13.6,watch,91880.99,72232.22
15,353200,대덕전자,138000.0,45.9,100.0,0.0,0.0,56.5,58.7,51.7,-17.7,-30.3,watch,105876.23,65721.52
16,081660,미스토홀딩스,46950.0,45.3,23.8,0.0,88.3,26.7,82.5,57.6,17.7,-15.9,watch,40776.4,33059.4
17,138930,BNK금융지주,18330.0,45.1,26.3,0.0,16.9,37.4,77.9,56.5,3.4,-20.5,watch,16487.07,14183.41
18,175330,JB금융지주,27400.0,43.4,8.0,0.0,15.0,44.4,73.0,55.3,3.0,-28.8,watch,23715.88,19110.73
19,017670,SK텔레콤,89700.0,40.7,77.5,0.0,0.0,67.3,44.4,48.1,-6.5,-35.7,watch,79508.78,66769.75
20,278470,에이피알,393000.0,40.2,94.1,0.0,19.8,33.1,58.9,51.7,4.0,-16.9,watch,335982.31,264710.19
21,241560,두산밥캣,64300.0,37.0,12.7,0.0,0.0,45.3,57.6,51.4,-2.4,-19.3,watch,57171.06,48259.89
22,028670,팬오션,5160.0,36.3,35.5,0.0,2.9,33.9,58.8,51.7,0.6,-21.8,watch,4544.89,3775.99
23,483650,달바글로벌,208500.0,35.6,90.5,0.0,20.0,37.3,46.7,48.7,4.0,-24.0,watch,171829.7,125991.83
24,383220,F&F,79000.0,34.8,36.4,0.0,0.0,24.6,60.4,52.1,-1.7,-11.2,watch,69203.78,56958.51
25,005940,NH투자증권,31000.0,33.6,48.4,0.0,0.0,27.2,54.5,50.6,-1.4,-27.2,watch,26940.2,21865.46
26,079550,LIG디펜스앤에어로스페이스,749000.0,33.3,74.4,0.0,0.0,40.3,42.8,47.7,-15.3,-33.0,watch,600030.46,413818.53
27,071050,한국금융지주,229000.0,31.4,41.6,0.0,0.0,31.7,48.0,49.0,-0.7,-23.8,watch,187780.95,136257.13
28,018260,삼성에스디에스,199300.0,29.6,38.3,0.0,0.0,30.9,44.9,48.2,-9.8,-48.7,watch,168100.17,129100.37
29,088350,한화생명,4540.0,28.6,47.5,0.0,0.0,29.5,42.0,47.5,-16.5,-39.9,watch,3931.81,3171.58
30,003490,대한항공,26500.0,27.5,42.4,0.0,0.0,36.8,36.2,46.1,-8.1,-15.1,watch,23605.08,19986.43
