rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,078930,GS,107400.0,79.7,100.0,100.0,100.0,81.3,64.0,71.0,31.3,0.9,watch,92263.57,73343.04
2,001450,현대해상,42950.0,75.7,80.5,48.1,81.2,60.0,98.6,62.4,16.2,-5.2,watch,38068.55,31966.73
3,085620,미래에셋생명,19350.0,69.9,100.0,0.0,69.1,100.0,87.9,59.0,13.8,-48.1,watch,16340.4,12578.41
4,088350,한화생명,5030.0,69.6,58.8,0.0,56.4,100.0,93.7,63.6,11.3,-33.5,watch,4454.4,3734.89
5,161890,한국콜마,135200.0,67.9,100.0,70.6,100.0,100.0,43.4,76.2,26.1,-2.9,watch,116891.02,94004.8
6,021240,코웨이,97200.0,66.6,43.3,55.8,7.8,54.9,84.0,58.0,1.6,-4.4,watch,87312.88,74953.99
7,175330,JB금융지주,29350.0,66.0,25.1,0.0,26.0,100.0,91.5,59.9,5.2,-23.8,watch,26114.0,22069.0
8,009420,한올바이오파마,60400.0,66.0,46.4,0.0,55.1,80.4,98.1,61.5,11.0,-17.3,watch,51083.68,39438.28
9,051900,LG생활건강,303500.0,64.4,51.7,4.6,100.0,66.7,97.2,61.3,27.5,-9.5,watch,270700.27,229700.61
10,375500,DL이앤씨,73500.0,63.1,69.9,0.0,92.7,60.3,97.7,61.4,18.5,-31.1,watch,64520.17,53295.37
11,003550,LG,113700.0,62.3,58.3,0.0,55.2,74.5,91.1,64.2,11.0,-38.8,watch,102565.79,88648.04
12,010060,OCI홀딩스,278000.0,62.1,100.0,0.0,100.0,55.2,93.6,60.4,36.6,-32.9,watch,216107.45,138741.76
13,018260,삼성에스디에스,237000.0,61.4,74.3,0.0,94.6,53.4,96.8,61.2,18.9,-39.0,watch,207076.16,169671.36
14,006360,GS건설,35700.0,60.5,90.3,0.0,100.0,45.2,96.8,62.8,24.2,-20.4,watch,29598.37,21971.33
15,007340,DN오토모티브,49450.0,60.5,100.0,12.4,93.6,64.1,78.3,67.4,18.7,-8.8,watch,43055.21,35061.73
16,278470,에이피알,399500.0,58.8,75.1,0.0,18.2,51.9,93.7,60.4,3.6,-15.5,watch,343798.81,274172.32
17,055550,신한지주,106600.0,58.1,59.6,40.9,0.0,53.5,71.6,54.9,-0.7,-5.9,watch,96742.31,84420.19
18,066570,LG전자,206500.0,57.8,100.0,0.0,32.2,46.4,90.4,59.6,6.4,-52.9,watch,176446.99,138880.72
19,005830,DB손해보험,166600.0,57.6,38.5,0.0,12.6,75.0,84.3,58.1,2.5,-22.1,watch,148314.01,125456.52
20,079550,LIG디펜스앤에어로스페이스,837000.0,56.0,88.9,0.0,52.8,58.8,80.8,57.2,10.6,-25.1,watch,684086.93,492945.59
21,064400,LG씨엔에스,78400.0,55.8,25.8,0.0,73.9,51.9,92.8,60.2,14.8,-48.9,watch,68446.13,56003.79
22,009150,삼성전기,1503000.0,55.5,100.0,0.0,31.8,65.3,74.9,55.7,6.4,-37.8,watch,1175101.41,765228.17
23,483650,달바글로벌,236000.0,55.5,100.0,0.0,94.8,100.0,54.6,50.6,19.0,-16.6,watch,187407.14,126666.06
24,047040,대우건설,18400.0,55.0,70.2,0.0,66.5,49.4,85.9,58.5,13.3,-54.4,watch,15205.83,11213.12
25,086790,하나금융지주,131000.0,54.6,64.3,19.3,0.0,61.4,70.6,54.6,-4.2,-8.1,watch,118964.89,103921.01
26,010950,S-Oil,140900.0,54.2,100.0,0.0,1.8,38.7,87.2,58.8,0.4,-20.4,watch,122891.88,100381.72
27,161390,한국타이어앤테크놀로지,71500.0,53.1,44.2,12.0,0.0,65.8,71.8,54.9,0.0,-8.8,watch,63052.86,52493.94
28,068270,셀트리온,202000.0,52.8,19.7,0.0,74.8,43.3,91.5,64.1,15.0,-15.6,watch,186159.98,166359.95
29,192820,코스맥스,249000.0,52.7,67.0,57.7,100.0,100.0,21.0,81.7,38.5,-4.2,watch,219478.95,182577.64
30,028050,삼성E&A,49000.0,50.6,92.9,0.0,75.8,39.6,77.5,56.4,15.2,-27.2,watch,42610.26,34623.08
