rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,001450,현대해상,41000.0,74.3,78.1,26.6,37.4,79.8,98.3,61.6,7.5,-7.3,watch,36437.73,30734.89
2,003690,코리안리,14650.0,73.3,55.9,51.3,28.9,70.5,90.7,64.3,5.8,-4.9,watch,13473.19,12002.17
3,078930,GS,97300.0,70.2,100.0,54.9,100.0,27.3,96.6,62.9,21.3,-4.5,watch,83101.66,65353.73
4,006360,GS건설,34900.0,67.2,86.6,0.0,47.9,73.4,98.7,61.7,9.6,-22.2,watch,28459.68,20409.29
5,033780,KT&G,185700.0,65.9,51.0,65.2,35.2,43.3,81.5,57.4,7.0,-3.5,watch,170680.98,151907.19
6,010060,OCI홀딩스,284500.0,64.9,100.0,0.0,100.0,71.1,91.3,64.2,43.8,-31.3,watch,218779.4,136628.65
7,282330,BGF리테일,151000.0,61.0,64.8,67.9,100.0,40.3,66.7,70.3,22.2,-3.2,watch,135171.34,115385.51
8,055550,신한지주,106400.0,56.4,60.9,39.1,0.0,47.6,71.5,54.9,-2.6,-6.1,watch,95955.98,82900.96
9,079550,LIG디펜스앤에어로스페이스,823000.0,55.5,86.9,0.0,49.4,58.5,80.0,57.0,9.9,-26.4,watch,665783.13,469262.03
10,021240,코웨이,94300.0,55.3,34.8,38.3,24.5,58.5,66.8,53.7,4.9,-6.2,watch,84720.92,72747.06
11,375500,DL이앤씨,72900.0,55.3,67.5,0.0,75.8,32.9,95.6,60.9,15.2,-31.6,watch,63237.07,51158.4
12,028670,팬오션,5830.0,54.9,63.1,0.0,55.2,42.0,91.2,59.8,11.0,-11.7,watch,5128.06,4250.64
13,090430,아모레퍼시픽,135800.0,54.3,18.4,0.0,51.6,47.3,93.7,60.4,10.3,-18.2,watch,121184.07,102914.16
14,051900,LG생활건강,320000.0,54.0,51.2,53.8,100.0,40.9,60.4,71.9,30.6,-4.6,watch,284946.08,241128.69
15,271560,오리온,137500.0,53.7,38.9,16.1,1.5,41.6,84.6,58.2,0.3,-8.4,watch,126267.47,112226.8
16,009420,한올바이오파마,56900.0,51.8,27.2,0.0,0.0,55.9,83.4,57.8,-0.9,-22.1,watch,47598.6,35971.84
17,096770,SK이노베이션,124500.0,51.6,24.6,0.0,100.0,40.1,89.1,59.3,21.0,-19.9,watch,107401.13,86027.53
18,006400,삼성SDI,481500.0,50.3,42.7,0.0,54.7,43.6,82.9,57.7,10.9,-33.4,watch,408479.16,317203.1
19,010950,S-Oil,139600.0,50.0,100.0,0.0,28.4,24.0,84.9,58.2,5.7,-21.2,watch,121401.6,98653.6
20,278470,에이피알,387000.0,49.5,67.4,0.0,16.0,40.2,80.1,57.0,3.2,-18.2,watch,333682.26,267035.1
21,267270,HD건설기계,143800.0,48.7,34.8,0.0,51.8,30.5,87.6,58.9,10.4,-33.9,watch,122698.82,96322.34
22,086790,하나금융지주,130400.0,48.5,65.6,15.1,7.4,44.8,67.6,53.9,1.5,-8.5,watch,117545.5,101477.37
23,007340,DN오토모티브,48450.0,47.2,96.4,0.0,100.0,24.8,76.7,67.8,35.1,-10.6,watch,42034.07,34014.16
24,028050,삼성E&A,48800.0,46.9,95.3,0.0,53.3,25.6,77.0,56.2,10.7,-27.5,watch,41712.68,32853.52
25,175330,JB금융지주,28650.0,46.9,19.3,0.0,49.9,33.0,84.5,58.1,10.0,-25.6,watch,25422.61,21388.36
26,066570,LG전자,190000.0,46.7,100.0,0.0,20.8,39.2,69.3,54.3,4.2,-56.6,watch,160450.22,123512.99
27,011200,HMM,21450.0,46.7,13.8,0.0,43.3,26.9,88.4,59.1,8.7,-14.0,watch,19679.95,17467.4
28,003550,LG,107600.0,46.3,43.0,0.0,31.1,28.8,82.3,57.6,6.2,-42.1,watch,95594.42,80587.45
29,138040,메리츠금융지주,123500.0,46.1,31.4,0.0,37.0,28.7,83.6,57.9,7.4,-17.6,watch,112675.84,99145.64
30,316140,우리금융지주,33350.0,45.9,25.6,0.0,30.2,35.4,80.5,57.1,6.0,-19.6,watch,30355.35,26612.04
