rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,003690,코리안리,15230.0,78.7,66.9,89.0,63.7,72.0,78.8,67.3,12.7,-1.1,watch,14106.19,12701.43
2,001450,현대해상,49700.0,78.4,83.7,100.0,100.0,100.0,53.3,73.7,35.4,8.5,buy,44322.62,37600.9
3,028670,팬오션,6040.0,75.1,74.9,15.2,99.2,90.0,99.6,62.1,19.8,-8.5,watch,5377.78,4549.99
4,085620,미래에셋생명,21800.0,67.0,100.0,0.0,100.0,100.0,80.6,66.9,38.9,-41.6,watch,18713.87,14856.2
5,007340,DN오토모티브,62800.0,66.9,100.0,100.0,100.0,100.0,24.7,80.8,62.5,2.4,buy,54445.82,44003.1
6,011200,HMM,22650.0,65.1,29.8,7.8,62.0,100.0,83.4,66.2,12.4,-9.2,watch,20825.82,18545.6
7,088350,한화생명,5520.0,61.7,85.5,0.0,100.0,100.0,70.6,69.3,27.9,-27.0,watch,4891.44,4105.75
8,078930,GS,119300.0,61.6,100.0,100.0,100.0,53.4,37.9,77.5,43.4,0.5,buy,103954.81,84773.33
9,017670,SK텔레콤,99800.0,60.9,90.3,0.0,89.1,48.7,96.0,61.0,17.8,-28.5,watch,86126.01,69033.51
10,066570,LG전자,208000.0,59.8,100.0,0.0,100.0,57.3,87.2,58.8,24.4,-52.5,watch,175918.57,135816.79
11,021240,코웨이,96500.0,58.8,41.5,48.9,22.2,47.3,74.1,55.5,4.4,-5.1,watch,87028.97,75190.17
12,003550,LG,112700.0,57.0,56.6,0.0,93.2,59.8,86.2,58.5,18.6,-39.4,watch,100517.96,85290.4
13,006260,LS,343500.0,56.5,52.8,0.0,100.0,78.0,75.5,55.9,29.4,-43.1,watch,280968.89,202804.99
14,096770,SK이노베이션,131500.0,56.4,43.7,0.0,62.4,47.4,94.2,63.5,12.5,-15.4,watch,115761.64,96088.69
15,010950,S-Oil,153600.0,55.4,100.0,0.0,23.5,56.2,79.9,67.0,4.7,-13.3,watch,135387.89,112622.76
16,161890,한국콜마,129700.0,55.1,100.0,0.7,100.0,56.2,76.7,67.8,30.4,-9.9,watch,111383.59,88488.07
17,009420,한올바이오파마,58700.0,55.0,40.8,0.0,95.9,56.1,85.8,58.4,19.2,-19.6,watch,49481.85,37959.16
18,055550,신한지주,106500.0,53.5,58.3,40.0,23.1,38.6,69.2,54.3,4.6,-6.0,watch,97214.54,85607.72
19,010060,OCI홀딩스,272500.0,52.0,100.0,0.0,100.0,25.4,86.7,58.7,36.5,-34.2,watch,214638.57,142311.77
20,278470,에이피알,396500.0,51.3,72.1,0.0,38.7,34.7,86.1,58.5,7.7,-16.2,watch,343084.18,276314.4
21,005830,DB손해보험,182000.0,51.2,62.7,0.0,72.3,54.3,75.5,68.1,14.5,-15.0,watch,163267.69,139852.3
22,006400,삼성SDI,488000.0,51.1,47.2,0.0,100.0,55.4,76.3,56.1,21.7,-32.5,watch,420139.42,335313.7
23,006360,GS건설,34150.0,50.8,93.6,0.0,100.0,23.6,85.9,58.5,31.1,-23.9,watch,28168.49,20691.61
24,192820,코스맥스,239000.0,49.5,70.3,12.2,100.0,64.7,57.5,72.6,37.7,-8.8,watch,209525.22,172681.74
25,051900,LG생활건강,300000.0,49.3,50.6,0.0,100.0,30.6,85.2,58.3,22.4,-10.6,watch,268611.46,229375.78
26,064400,LG씨엔에스,73900.0,49.1,11.5,0.0,97.9,85.0,61.1,52.3,19.6,-51.8,watch,62818.35,48966.28
27,009150,삼성전기,1440000.0,48.7,100.0,0.0,64.7,59.5,61.8,52.5,12.9,-40.4,watch,1119689.48,719301.33
28,018260,삼성에스디에스,228500.0,48.6,76.6,0.0,100.0,44.2,72.3,55.1,23.0,-41.2,watch,198330.97,160619.69
29,375500,DL이앤씨,70600.0,48.0,59.2,0.0,100.0,44.3,73.6,55.4,21.9,-33.8,watch,61608.2,50368.46
30,004800,효성,167300.0,47.7,21.7,0.0,100.0,45.8,77.6,56.4,20.6,-47.4,watch,145883.01,119111.76
