rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,078930,GS,82500.0,66.3,77.2,41.8,100.0,34.8,94.5,60.6,22.0,-5.8,watch,71988.31,58848.7
2,483650,달바글로벌,236000.0,65.6,100.0,0.0,88.5,71.2,93.2,60.3,17.7,-14.0,watch,197656.73,149727.65
3,086790,하나금융지주,132600.0,64.5,72.8,30.5,53.9,49.4,90.6,59.6,10.8,-6.9,watch,118383.31,100612.44
4,005830,DB손해보험,161700.0,56.9,26.2,0.0,72.2,43.6,99.9,62.0,14.4,-24.4,watch,145677.35,125649.04
5,010950,S-Oil,141600.0,55.2,91.2,0.0,100.0,39.3,87.8,65.1,32.3,-20.0,watch,124429.81,102967.06
6,055550,신한지주,104700.0,46.8,61.4,24.1,36.9,37.0,62.7,52.7,7.4,-7.6,watch,92927.86,78212.69
7,105560,KB금융,174000.0,44.0,70.9,0.0,54.1,30.6,71.2,54.8,10.8,-10.5,watch,154681.19,130532.68
8,021240,코웨이,93500.0,43.8,31.4,30.3,43.6,26.8,62.2,52.6,8.7,-7.0,watch,82869.29,69580.89
9,033780,KT&G,178200.0,43.2,43.1,26.2,9.4,31.6,59.9,52.0,1.9,-7.4,watch,163129.28,144290.88
10,161390,한국타이어앤테크놀로지,70900.0,43.0,44.3,4.3,49.6,32.1,70.0,54.5,9.9,-9.6,watch,62042.46,50970.54
11,081660,미스토홀딩스,46000.0,41.8,18.7,0.0,100.0,36.4,69.7,54.4,20.4,-17.6,watch,40016.64,32537.44
12,138930,BNK금융지주,18100.0,40.2,22.4,0.0,33.9,38.4,66.3,53.6,6.8,-21.5,watch,16265.23,13971.77
13,139130,iM금융지주,18140.0,39.1,35.8,0.0,50.4,22.3,70.0,54.5,10.1,-17.5,watch,16430.81,14294.32
14,001450,현대해상,37150.0,37.1,62.9,0.0,4.8,30.9,58.0,51.5,1.0,-16.0,watch,32649.26,27023.34
15,161890,한국콜마,101700.0,36.5,100.0,0.0,92.7,20.4,54.3,50.6,18.5,-18.4,watch,85973.91,66316.3
16,353200,대덕전자,120500.0,31.1,100.0,0.0,0.0,47.3,30.1,44.5,-22.3,-39.1,watch,87707.57,46717.03
17,000810,삼성화재,618000.0,30.5,71.9,0.0,0.0,34.4,39.9,47.0,-9.8,-18.4,watch,527687.99,414797.99
18,005935,삼성전자우,181000.0,28.9,100.0,0.0,0.0,34.5,32.0,45.0,-19.2,-25.7,watch,147941.19,106617.68
19,005940,NH투자증권,29750.0,28.7,35.6,0.0,0.0,40.2,38.2,46.5,-3.4,-30.2,watch,25803.03,20869.32
20,402340,SK스퀘어,1253000.0,27.3,100.0,0.0,0.0,27.1,32.3,45.1,-36.4,-42.8,watch,910322.45,481975.51
21,028670,팬오션,5010.0,26.6,26.1,0.0,9.7,28.8,40.7,47.2,1.9,-24.1,watch,4434.47,3715.05
22,034730,SK,596000.0,26.4,100.0,0.0,0.0,23.6,32.2,45.1,-18.4,-32.5,watch,473753.18,320944.65
23,383220,F&F,75400.0,25.3,21.2,0.0,0.7,35.5,35.1,45.8,0.1,-15.3,watch,65791.02,53779.79
24,018260,삼성에스디에스,191500.0,24.3,25.7,0.0,0.0,31.5,34.3,45.6,-8.2,-50.7,watch,161209.33,123345.98
25,000500,가온전선,181100.0,23.9,100.0,0.0,0.0,27.0,24.7,43.2,-3.7,-48.7,watch,115535.38,33579.62
26,278470,에이피알,365000.0,23.7,71.9,0.0,0.0,24.0,30.1,44.5,-2.1,-22.8,watch,309846.99,240905.73
27,005930,삼성전자,259000.0,23.5,98.8,0.0,0.0,32.0,21.2,42.3,-26.7,-30.8,watch,209197.45,146944.25
28,010120,LS ELECTRIC,189100.0,23.1,72.0,0.0,0.0,33.7,23.5,42.9,-22.8,-43.6,watch,147613.02,95754.31
29,017670,SK텔레콤,85100.0,23.1,60.7,0.0,0.0,45.9,18.5,41.6,-9.7,-39.0,watch,74416.75,61062.69
30,028050,삼성E&A,41300.0,22.7,62.2,0.0,0.0,32.7,24.5,43.1,-17.2,-38.6,watch,34006.07,24888.66
