stop_pct,target_pct,rsi_low,pullback_touch,max_hold,train_trades,train_winrate,train_expect,test_trades,test_winrate,test_expect,test_payoff,train_score,test_score
0.04,0.1,40,0.03,15,297,25.6,-0.74,376,25.8,-0.7,2.24,-0.12689464981267165,-0.1360686031081919
0.04,0.1,40,0.03,20,297,25.6,-0.7,376,25.8,-0.72,2.23,-0.12099991580313518,-0.13891891679267102
0.04,0.1,45,0.015,10,259,28.2,-0.66,333,27.3,-0.56,2.17,-0.10674248512920732,-0.10279687952742733
0.04,0.1,45,0.015,15,259,26.3,-0.62,333,26.7,-0.54,2.27,-0.10046354439913566,-0.09808668289958097
0.04,0.1,45,0.015,20,259,26.3,-0.59,333,27.0,-0.54,2.23,-0.09415117282214716,-0.09917516499844885
0.04,0.1,45,0.02,10,271,27.7,-0.74,348,26.7,-0.67,2.15,-0.12162470155306106,-0.1241415794680652
0.04,0.1,45,0.02,15,271,25.8,-0.69,348,26.1,-0.65,2.24,-0.112914528558497,-0.12091903957994253
0.04,0.1,45,0.02,20,271,25.8,-0.65,348,26.1,-0.66,2.23,-0.10674349664677832,-0.12388180289360687
0.04,0.1,45,0.03,10,297,26.9,-0.8,376,25.8,-0.79,2.15,-0.13844437993508868,-0.15309225317623362
0.04,0.1,45,0.03,15,297,25.6,-0.74,376,25.8,-0.7,2.24,-0.12689464981267165,-0.1360686031081919
0.04,0.1,45,0.03,20,297,25.6,-0.7,376,25.8,-0.72,2.23,-0.12099991580313518,-0.13891891679267102
0.04,0.15,35,0.015,10,259,23.6,-0.73,332,24.1,-0.52,2.64,-0.11705332613008171,-0.09412800058848506
0.04,0.15,35,0.015,15,259,21.2,-0.7,332,22.0,-0.36,3.16,-0.1131312567105326,-0.06624989192592212
0.04,0.15,35,0.015,20,258,20.2,-0.63,332,21.7,-0.37,3.21,-0.10057677578866404,-0.06735982610312113
0.04,0.15,35,0.02,10,271,23.2,-0.78,347,23.6,-0.61,2.63,-0.1286673898732899,-0.11300542949462021
0.04,0.15,35,0.02,15,271,21.0,-0.74,347,21.6,-0.47,3.11,-0.12108959696378922,-0.08712355005683346
0.04,0.15,35,0.02,20,270,20.0,-0.65,347,21.0,-0.48,3.21,-0.10695817966661177,-0.09010996045309672
