rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,003690,코리안리,14630.0,78.1,55.7,50.0,32.4,96.3,88.6,64.9,6.5,-5.0,watch,13367.78,11790.0
2,078930,GS,98800.0,74.7,99.3,69.6,100.0,48.3,87.3,65.2,25.7,-3.0,watch,83855.18,65174.15
3,006360,GS건설,32600.0,68.7,85.8,0.0,73.9,100.0,87.2,58.8,14.8,-27.3,watch,25978.69,17702.05
4,021240,코웨이,96600.0,68.1,40.6,61.2,26.7,45.9,89.2,59.3,5.3,-3.9,watch,87341.42,75768.19
5,055550,신한지주,107400.0,63.5,64.5,47.9,0.5,40.4,86.2,58.6,0.1,-5.2,watch,96988.0,83973.01
6,018260,삼성에스디에스,232500.0,61.7,69.1,0.0,98.3,55.1,97.4,61.4,19.7,-40.2,watch,201195.99,162065.98
7,086790,하나금융지주,133300.0,60.8,72.6,35.4,45.0,30.5,89.9,59.5,9.0,-6.5,watch,120209.57,103846.54
8,375500,DL이앤씨,72100.0,60.2,64.8,0.0,100.0,58.8,92.5,60.1,20.8,-32.4,watch,61831.74,48996.43
9,033780,KT&G,182700.0,59.8,46.8,49.6,0.0,50.0,74.3,55.6,-0.9,-5.0,watch,169086.22,152068.99
10,028670,팬오션,5850.0,59.4,64.2,0.0,65.8,44.8,99.3,62.2,13.2,-11.4,watch,5129.06,4227.88
11,138040,메리츠금융지주,125700.0,59.0,35.6,0.0,52.8,51.9,99.2,62.2,10.6,-16.1,watch,114516.95,100538.14
12,009970,영원무역홀딩스,203000.0,59.0,2.2,0.0,48.1,80.9,88.6,59.1,9.6,-22.5,watch,180226.19,151758.93
13,090430,아모레퍼시픽,137800.0,57.0,20.6,0.0,54.3,70.2,87.0,65.3,10.9,-18.5,watch,123651.35,105965.54
14,278470,에이피알,378000.0,56.2,61.3,0.0,0.0,88.6,70.6,54.7,-1.9,-20.1,watch,323590.08,255577.69
15,316140,우리금융지주,33500.0,55.8,27.1,0.0,45.6,40.1,99.8,62.0,9.1,-19.3,watch,30521.59,26798.58
16,047040,대우건설,16870.0,55.7,54.5,0.0,32.8,100.0,63.4,52.9,6.6,-58.2,watch,13376.33,9009.24
17,028050,삼성E&A,49450.0,55.2,100.0,0.0,68.4,46.2,83.6,57.9,13.7,-26.5,watch,41919.73,32506.89
18,010060,OCI홀딩스,244000.0,53.7,89.7,0.0,100.0,48.7,79.4,56.9,35.2,-41.1,watch,182720.49,106121.09
19,007340,DN오토모티브,47800.0,53.7,92.6,0.0,100.0,47.8,79.6,67.1,35.0,-11.8,watch,41019.99,32544.97
20,267270,HD건설기계,141900.0,53.1,31.2,0.0,66.2,52.1,85.9,58.5,13.2,-34.8,watch,119361.35,91188.04
21,068270,셀트리온,195000.0,51.9,7.5,0.0,51.5,54.3,86.1,65.5,10.3,-18.5,watch,179455.6,160025.1
22,180640,한진칼,127200.0,51.6,18.6,0.0,0.0,37.5,94.2,60.5,-6.5,-27.7,watch,109945.11,88376.5
23,161890,한국콜마,106900.0,51.4,100.0,0.0,0.0,35.8,82.5,57.6,-4.6,-14.2,watch,92178.93,73777.6
24,483650,달바글로벌,247000.0,51.0,100.0,0.0,67.8,38.9,78.0,56.5,13.6,-10.3,watch,201749.01,145185.28
25,011200,HMM,21400.0,48.9,13.1,0.0,33.7,27.7,93.2,60.3,6.7,-14.2,watch,19555.45,17249.76
26,006260,LS,328500.0,48.8,46.0,0.0,32.4,69.9,65.4,53.3,6.5,-45.6,watch,262737.64,180534.69
27,003490,대한항공,27500.0,48.5,39.0,0.0,0.0,45.3,79.8,57.0,-2.3,-11.9,watch,24912.44,21677.99
28,271560,오리온,135500.0,47.7,35.9,2.7,0.0,51.8,73.5,55.4,-3.4,-9.7,watch,123682.39,108910.37
29,009420,한올바이오파마,55600.0,47.6,21.4,0.0,0.0,47.9,79.0,56.7,-5.3,-23.8,watch,46180.62,34406.4
30,088350,한화생명,4580.0,46.6,36.8,0.0,28.3,65.5,64.1,53.0,5.7,-39.4,watch,4041.29,3367.91
