rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,078930,GS,84200.0,74.2,78.7,61.2,100.0,43.2,96.7,62.8,29.5,-3.9,watch,73824.86,60855.93
2,017670,SK텔레콤,94100.0,60.0,87.6,0.0,23.4,90.2,73.7,55.4,4.7,-32.5,watch,82622.7,68276.07
3,086790,하나금융지주,131600.0,55.5,70.8,23.5,69.7,30.5,84.0,58.0,13.9,-7.6,watch,117727.36,100386.55
4,010950,S-Oil,141700.0,55.2,93.3,0.0,100.0,39.3,87.5,65.1,39.6,-20.0,watch,124699.11,103447.99
5,000500,가온전선,209500.0,53.1,100.0,0.0,68.6,100.0,49.8,49.4,13.7,-40.6,watch,141204.29,55834.64
6,005830,DB손해보험,165400.0,52.3,33.3,0.0,95.0,43.5,87.8,65.0,19.0,-22.7,watch,149036.11,128581.25
7,161390,한국타이어앤테크놀로지,72400.0,52.3,50.7,23.5,87.7,29.8,79.7,56.9,17.5,-7.7,watch,63818.0,53090.51
8,006360,GS건설,29100.0,50.1,64.0,0.0,91.5,78.4,59.5,51.9,18.3,-35.1,watch,23711.29,16975.4
9,483650,달바글로벌,222000.0,47.6,100.0,0.0,34.9,48.4,66.0,53.5,7.0,-19.1,watch,183466.97,135300.68
10,055550,신한지주,104500.0,45.8,60.8,22.3,34.8,37.3,61.4,52.3,7.0,-7.8,watch,93054.44,78747.5
11,105560,KB금융,175100.0,44.8,72.9,0.3,69.6,26.3,74.7,55.7,13.9,-10.0,watch,156332.53,132873.2
12,012330,현대모비스,513000.0,42.6,68.1,0.0,2.9,66.8,50.4,49.6,0.6,-37.6,watch,429540.1,325215.22
13,033780,KT&G,176600.0,41.3,40.3,17.9,11.6,46.5,52.4,50.1,2.3,-8.2,watch,161848.62,143409.39
14,001450,현대해상,37100.0,38.8,62.2,0.0,15.3,39.4,57.2,51.3,3.1,-16.2,watch,32777.89,27375.24
15,081660,미스토홀딩스,45000.0,34.8,13.1,0.0,79.9,28.6,59.5,51.9,16.0,-19.4,watch,39151.17,31840.12
16,005935,삼성전자우,185100.0,33.9,100.0,0.0,0.0,43.4,38.7,46.7,-8.6,-24.0,watch,152616.82,112012.85
17,034730,SK,624000.0,33.8,100.0,0.0,0.0,29.7,45.7,48.4,-11.5,-29.3,watch,500770.81,346734.32
18,021240,코웨이,91800.0,33.5,26.9,13.4,33.7,23.4,51.2,49.8,6.7,-8.7,watch,81228.62,68014.4
19,000810,삼성화재,630000.0,33.1,76.9,0.0,0.0,30.2,47.2,48.8,-2.5,-16.8,watch,540710.28,429098.13
20,138930,BNK금융지주,17780.0,32.9,17.9,0.0,31.7,32.9,53.4,50.3,6.3,-22.9,watch,15973.43,13715.22
21,066570,LG전자,182700.0,32.6,100.0,0.0,0.0,51.9,31.0,44.8,-9.6,-58.3,watch,145090.46,98078.53
22,028670,팬오션,5080.0,31.6,29.4,0.0,43.9,29.5,50.1,49.5,8.8,-23.0,watch,4519.86,3819.69
23,139130,iM금융지주,17510.0,30.4,26.6,0.0,40.4,36.4,44.3,48.1,8.1,-20.4,watch,15770.04,13595.09
24,353200,대덕전자,119000.0,29.5,100.0,0.0,0.0,44.9,27.7,43.9,-15.2,-39.9,watch,85935.6,44605.1
25,018260,삼성에스디에스,196000.0,28.9,31.7,0.0,11.5,32.8,42.9,47.7,2.3,-49.5,watch,165944.37,128374.84
26,402340,SK스퀘어,1230000.0,28.1,100.0,0.0,0.0,36.1,29.2,44.3,-32.9,-43.8,watch,886513.7,457155.83
27,088350,한화생명,4430.0,26.6,37.1,0.0,0.0,36.2,35.4,45.8,-7.8,-41.4,watch,3851.48,3128.34
28,383220,F&F,74000.0,26.6,15.6,0.0,5.5,60.1,25.6,43.4,1.1,-16.9,watch,64505.94,52638.37
29,005930,삼성전자,260500.0,24.8,99.2,0.0,0.0,34.5,22.8,42.7,-16.0,-30.4,watch,211826.2,150983.95
30,010120,LS ELECTRIC,190600.0,24.5,73.1,0.0,0.0,35.2,25.6,43.4,-18.0,-43.1,watch,150304.95,99936.14
