rank,code,name,close,total,trend,breakout,momentum,volume,rsi_score,rsi,roc_pct,high_gap_pct,signal,stop,trail_hint
1,028050,삼성E&A,52100.0,95.5,87.5,100.0,77.0,100.0,94.1,60.5,15.4,0.2,watch,46934.07,40476.66
2,007340,DN오토모티브,49600.0,92.0,100.0,100.0,61.1,61.0,85.6,58.4,12.2,0.2,watch,44038.4,37086.4
3,062040,산일전기,211000.0,83.1,49.7,81.4,100.0,56.6,94.7,60.7,28.0,-1.9,watch,186275.07,155368.91
4,000500,가온전선,322000.0,80.9,100.0,100.0,100.0,100.0,46.1,75.5,103.5,17.1,watch,274331.79,214746.53
5,000150,두산,1449000.0,80.3,55.9,71.8,100.0,88.6,95.3,63.2,34.4,-2.8,watch,1254792.97,1012034.17
6,316140,우리금융지주,36150.0,80.2,41.2,78.3,69.3,51.9,97.7,62.6,13.9,-2.2,watch,33590.02,30390.04
7,000660,SK하이닉스,1849000.0,77.8,89.5,78.3,34.4,65.8,80.4,57.1,6.9,-2.2,watch,1634375.66,1366095.23
8,375500,DL이앤씨,86800.0,72.5,100.0,58.1,100.0,47.5,81.4,66.6,27.3,-4.2,watch,77862.51,66690.65
9,443060,HD현대마린솔루션,244000.0,72.4,64.1,60.6,100.0,99.8,84.4,65.9,23.4,-3.9,watch,219737.07,189408.41
10,004020,현대제철,35850.0,66.4,13.6,63.7,100.0,64.6,81.1,66.7,32.8,-3.6,watch,32311.81,27889.07
11,000990,DB하이텍,125900.0,65.2,25.8,58.1,100.0,51.5,82.2,66.4,40.4,-4.2,watch,109595.18,89214.15
12,006360,GS건설,37200.0,64.5,100.0,45.4,59.4,82.0,78.7,56.7,11.9,-5.5,watch,32245.01,26051.27
13,105560,KB금융,175700.0,62.2,48.4,67.0,34.7,47.7,64.8,53.2,6.9,-3.3,watch,163530.05,148317.61
14,003690,코리안리,14970.0,60.5,57.3,55.9,14.8,64.5,73.5,55.4,3.0,-4.4,watch,14045.73,12890.4
15,003490,대한항공,29150.0,56.7,51.4,43.4,64.9,43.0,75.7,55.9,13.0,-5.7,watch,27040.63,24403.92
16,055550,신한지주,111100.0,56.2,57.8,53.6,33.6,71.4,60.9,52.2,6.7,-4.6,watch,103302.88,93556.47
17,012750,에스원,83400.0,53.3,15.4,37.1,43.0,77.1,85.4,58.3,8.6,-6.3,watch,76779.46,68503.78
18,175330,JB금융지주,31050.0,52.7,45.2,38.1,83.6,32.5,71.3,54.8,16.7,-6.2,watch,28176.34,24584.28
19,009150,삼성전기,1388000.0,52.3,100.0,41.0,27.4,73.8,55.0,50.7,5.5,-5.9,watch,1204724.01,975629.02
20,005935,삼성전자우,196900.0,51.4,85.8,37.6,0.0,50.2,66.6,53.7,-4.9,-6.2,watch,177180.97,152532.19
21,033780,KT&G,172800.0,49.8,16.2,65.4,1.5,65.5,44.7,48.2,0.3,-3.5,watch,164486.63,154094.92
22,010120,LS ELECTRIC,208500.0,48.9,58.7,30.8,57.5,75.3,66.6,53.7,11.5,-6.9,watch,186979.84,160079.64
23,021240,코웨이,101500.0,48.9,63.7,29.5,29.2,100.0,69.0,54.2,5.8,-7.1,watch,92078.8,80302.29
24,090430,아모레퍼시픽,142700.0,48.3,35.3,35.7,17.0,38.8,73.7,55.4,3.4,-6.4,watch,131087.16,116571.12
25,086790,하나금융지주,133700.0,44.5,52.8,41.5,19.0,70.0,47.4,48.9,3.8,-5.8,watch,123571.85,110911.66
26,139130,iM금융지주,18190.0,41.6,25.3,32.8,29.4,100.0,55.4,50.9,5.9,-6.7,watch,16851.21,15177.73
27,192820,코스맥스,274000.0,41.2,100.0,0.0,5.5,29.7,83.7,57.9,1.1,-10.6,watch,242406.01,202913.52
28,161890,한국콜마,145500.0,40.9,100.0,0.0,32.2,41.0,78.2,56.5,6.4,-12.3,watch,128917.95,108190.39
29,180640,한진칼,139200.0,40.5,50.3,2.7,90.3,46.6,80.0,57.0,18.1,-9.7,watch,123954.61,104897.88
30,000810,삼성화재,655000.0,40.4,68.4,29.1,0.0,68.2,50.6,49.7,-0.9,-7.1,watch,594364.09,518569.19
